metric,value,unit,source,note
reported_borrowed_basket_value,15600000,usd,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,"Borrowed DOLA, ETH, WBTC, and YFI basket reported at about $15.6 million."
reported_converted_eth,4300,eth,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,"Borrowed assets were converted into about 4,300 ETH."
reported_converted_eth_value,14500000,usd,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,The converted ETH was reported at about $14.5 million.
reported_mixer_transfer_eth,1300,eth,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,"About 1,300 ETH was transferred to a mixer by early April 2."
reported_mixer_transfer_value,4500000,usd,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,The mixer transfer was reported at about $4.5 million.
reported_borrowed_asset_count,4,count,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,"The extractable basket crossed four assets: DOLA, ETH, WBTC, and YFI."
derived_notional_to_realized_haircut,1100000,usd,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,Difference between reported borrowed-basket notional and converted ETH value.
derived_realized_value_share,92.95,percent,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,Converted ETH value divided by reported borrowed-basket value.
derived_mixer_transfer_share,30.23,percent,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,Mixer transfer ETH divided by converted ETH.
derived_implied_converted_eth_price,3372.09,usd_per_eth,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,Converted ETH value divided by converted ETH quantity.
derived_implied_mixer_transfer_eth_price,3461.54,usd_per_eth,https://www.web3isgoinggreat.com/?id=inverse-finance-exploited,Mixer transfer value divided by mixer transfer ETH quantity.
