event_type,block_number,block_timestamp_utc,tx_hash,log_index,reserve_or_debt_asset,collateral_asset,user,on_behalf_of_or_repayer,liquidator,amount_crv,collateral_amount_usdc,borrow_rate_mode,receive_a_token
Borrow,15966378,2022-11-14T06:06:59Z,0xc91b35211c5beca48daa4dab3169001b8ff1473674c80316a288dbaecd729b99,478,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,1000000,,2,
Borrow,15966468,2022-11-14T06:25:11Z,0x9f29c646b0480ae088528c3a1b9f21068af63c64b8e64d6ab9a1791673760a5d,260,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,1000000,,2,
Borrow,15966632,2022-11-14T06:57:59Z,0x8c9d8c3dcced270254895c872a5b8cad9b09997a6e729995fc07e01cbc9b6f88,229,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,2000000,,2,
Borrow,15978039,2022-11-15T21:13:23Z,0x38d2e2edd5ae051d10c9ea2ac2516c511fc46983d458db07ece8ecf0938e8815,213,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,2000000,,2,
Borrow,15986102,2022-11-17T00:16:47Z,0x3c428689be40c29db56f1c905d9efc826d761c21c85d600e8aacfd362196689c,380,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,2000000,,2,
Borrow,15986177,2022-11-17T00:31:47Z,0x63e28762ae526509be28ccdbb1ac22019e28211b26b095f791fe945aa69145fc,202,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,2000000,,2,
Borrow,15987272,2022-11-17T04:11:47Z,0x9ec3d389e9d09bd77f9014930655cd3228cb30f6a1dd6e21cd50b60a6a866038,203,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,2000000,,2,
Borrow,16007551,2022-11-20T00:09:47Z,0xde708fdecd84684c0ae1974486b12f063e6691428f3932e5ca4c69aded10e854,475,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,5000000,,2,
Borrow,16023418,2022-11-22T05:19:35Z,0x394c5aa88ad9dda4d3ef83e08856dcd67b625dab55992fde8260978690269574,116,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,20000000,,2,
Borrow,16024300,2022-11-22T08:16:35Z,0x2bfb884eb6ba443e2346105c4a288f04577760038619c61a65c68544678ace66,109,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,10000000,,2,
Borrow,16024736,2022-11-22T09:44:11Z,0xf03a3bace164caccec5edd1bcab8b04842e27dd57abb0c2f6996d9bc89ce26e0,184,0xD533a949740bb3306d119CC777fa900bA034cd52,,0x57e04786e231af3343562c062e0d058f25dace9e,0x57e04786e231af3343562c062e0d058f25dace9e,,30000000,,2,
