date,open,high,low,close,base_volume_crv,quote_volume_usdt,trade_count,source
2022-11-15,0.611,0.635,0.597,0.607,13603871.8,8408397.7664,23815,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-16,0.606,0.617,0.573,0.586,12571436.4,7492861.209,21399,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-17,0.587,0.59,0.532,0.553,24940448.4,13832538.5639,36143,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-18,0.553,0.568,0.541,0.553,9355933.9,5195781.6524,14833,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-19,0.553,0.557,0.537,0.543,5262209.1,2880460.1459,9726,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-20,0.542,0.548,0.501,0.512,20420380.2,10735768.9282,34443,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-21,0.511,0.52,0.471,0.502,22465209.42,11207284.8742,33669,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-22,0.501,0.74,0.401,0.633,374032170.2,209131162.409383,405181,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-23,0.633,0.722,0.608,0.687,98223355.6,64395593.3298,142891,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-24,0.688,0.73,0.661,0.688,49567090.5,34298299.326,80822,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-25,0.688,0.703,0.656,0.678,23038890.5,15648125.0609,38919,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-26,0.679,0.759,0.675,0.703,43368160.1,31359764.2788,66504,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-27,0.703,0.72,0.68,0.685,16214490.2,11383906.7259,26019,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-28,0.685,0.692,0.626,0.646,24226349.9,15653015.3036,39452,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-29,0.645,0.683,0.636,0.662,16993979.1,11290601.6641,30529,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-11-30,0.662,0.693,0.646,0.671,19507403.9,13066383.8406,32853,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-12-01,0.67,0.674,0.636,0.642,12214610.0,8026818.6936,20324,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
2022-12-02,0.642,0.66,0.623,0.66,11654640.5,7454962.055,20770,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1d"
