open_time_utc,close,quote_volume_usdt,quote_volume_vs_nov20_21_hourly_average,taker_sell_quote_volume_usdt,taker_sell_share_quote_volume,derived_from
2022-11-22T00:00:00Z,0.508,497417.823100,1.088,311834.777800,0.6269,crv-usdt-binance-hourly.csv
2022-11-22T01:00:00Z,0.51,139735.920900,0.306,89732.542200,0.6422,crv-usdt-binance-hourly.csv
2022-11-22T02:00:00Z,0.523,896067.808900,1.960,500136.794600,0.5581,crv-usdt-binance-hourly.csv
2022-11-22T03:00:00Z,0.536,1482739.712200,3.243,959326.189500,0.6470,crv-usdt-binance-hourly.csv
2022-11-22T04:00:00Z,0.514,1501631.044300,3.285,876553.842900,0.5837,crv-usdt-binance-hourly.csv
2022-11-22T05:00:00Z,0.499,1781975.590500,3.898,1070601.754700,0.6008,crv-usdt-binance-hourly.csv
2022-11-22T06:00:00Z,0.457,5566034.995779,12.176,3316747.629379,0.5959,crv-usdt-binance-hourly.csv
2022-11-22T07:00:00Z,0.443,5194881.647000,11.364,2825053.350200,0.5438,crv-usdt-binance-hourly.csv
2022-11-22T08:00:00Z,0.44,5971977.388300,13.064,3470245.865300,0.5811,crv-usdt-binance-hourly.csv
2022-11-22T09:00:00Z,0.406,5147140.529804,11.259,3017139.872704,0.5862,crv-usdt-binance-hourly.csv
2022-11-22T10:00:00Z,0.418,8947021.384100,19.571,4482322.295900,0.5010,crv-usdt-binance-hourly.csv
2022-11-22T11:00:00Z,0.48,13425259.678300,29.367,6435494.165700,0.4794,crv-usdt-binance-hourly.csv
2022-11-22T12:00:00Z,0.547,16635549.290800,36.390,8599515.545100,0.5169,crv-usdt-binance-hourly.csv
2022-11-22T13:00:00Z,0.593,38004556.119600,83.134,20645913.632900,0.5432,crv-usdt-binance-hourly.csv
2022-11-22T14:00:00Z,0.59,10413097.395300,22.778,5159254.942200,0.4955,crv-usdt-binance-hourly.csv
2022-11-22T15:00:00Z,0.607,12198517.117000,26.684,5516293.779600,0.4522,crv-usdt-binance-hourly.csv
2022-11-22T16:00:00Z,0.614,5271089.534100,11.530,2335891.686500,0.4432,crv-usdt-binance-hourly.csv
2022-11-22T17:00:00Z,0.714,31942351.293000,69.873,14583557.974100,0.4566,crv-usdt-binance-hourly.csv
2022-11-22T18:00:00Z,0.593,28397738.684700,62.119,15382808.993000,0.5417,crv-usdt-binance-hourly.csv
2022-11-22T19:00:00Z,0.595,4927910.068500,10.780,2865229.441100,0.5814,crv-usdt-binance-hourly.csv
2022-11-22T20:00:00Z,0.618,5263814.363900,11.514,2723378.709200,0.5174,crv-usdt-binance-hourly.csv
2022-11-22T21:00:00Z,0.622,2006946.337200,4.390,770932.782500,0.3841,crv-usdt-binance-hourly.csv
2022-11-22T22:00:00Z,0.632,2091829.795500,4.576,914727.742900,0.4373,crv-usdt-binance-hourly.csv
2022-11-22T23:00:00Z,0.633,1425878.886600,3.119,662989.334600,0.4650,crv-usdt-binance-hourly.csv
