open_time_utc,open,high,low,close,base_volume_crv,quote_volume_usdt,trade_count,taker_buy_base_volume_crv,taker_buy_quote_volume_usdt,source
2022-11-20T00:00:00Z,0.542,0.546,0.537,0.545,534722.1,289552.9424,1220,279939.6,151559.0492,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T01:00:00Z,0.545,0.548,0.54,0.544,360010.7,195932.557,634,165108.5,89878.2091,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T02:00:00Z,0.543,0.547,0.542,0.544,149328.3,81292.6481,344,71916.4,39176.8522,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T03:00:00Z,0.543,0.546,0.541,0.543,323599.6,175811.0823,422,171115.2,93060.2941,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T04:00:00Z,0.543,0.548,0.543,0.544,272634.4,148770.9624,486,160831.3,87745.2765,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T05:00:00Z,0.544,0.546,0.54,0.54,481673.7,261416.9593,644,212115.9,115224.357,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T06:00:00Z,0.54,0.542,0.536,0.539,748118.2,402804.0119,1177,297996.6,160503.4457,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T07:00:00Z,0.539,0.542,0.535,0.541,572078.1,307702.5192,810,279021.6,150248.5066,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T08:00:00Z,0.541,0.542,0.501,0.529,2571149.7,1345991.204,4964,1103296.1,579165.8445,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T09:00:00Z,0.529,0.529,0.524,0.526,764998.7,402533.2708,1318,440835.2,232042.6613,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T10:00:00Z,0.525,0.533,0.519,0.525,705344.4,371552.672,1658,402935.7,212203.8144,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T11:00:00Z,0.524,0.525,0.509,0.516,1136065.2,587695.0726,2392,577394.6,299105.6938,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T12:00:00Z,0.515,0.519,0.509,0.516,880929.2,453209.4619,1387,425599.0,219212.1772,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T13:00:00Z,0.515,0.523,0.514,0.522,388589.8,201788.074,770,232314.6,120627.8084,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T14:00:00Z,0.521,0.522,0.517,0.519,368500.2,191265.4324,669,180726.4,93816.4118,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T15:00:00Z,0.518,0.52,0.516,0.52,292903.2,151761.5474,519,175232.9,90843.9548,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T16:00:00Z,0.52,0.52,0.514,0.519,374801.4,193880.1577,798,233870.4,120991.1961,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T17:00:00Z,0.518,0.521,0.513,0.514,303006.2,156607.2701,597,161357.0,83406.1147,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T18:00:00Z,0.513,0.519,0.513,0.518,251087.5,129572.9095,478,95452.8,49266.7325,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T19:00:00Z,0.518,0.53,0.518,0.526,555112.1,290358.5074,1100,323074.0,169246.5151,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T20:00:00Z,0.527,0.544,0.52,0.531,4089864.2,2173450.0697,6125,1892128.7,1005489.3978,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T21:00:00Z,0.531,0.533,0.513,0.518,1689782.9,885074.8818,2147,704004.2,367242.9714,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T22:00:00Z,0.518,0.519,0.504,0.515,1831373.8,940577.1486,2894,763889.0,392162.7006,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-20T23:00:00Z,0.515,0.517,0.508,0.512,774706.6,397167.5657,890,284967.1,145963.9508,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T00:00:00Z,0.511,0.52,0.496,0.517,1540997.92,784108.2703,2926,673701.5,342744.6158,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T01:00:00Z,0.517,0.517,0.509,0.51,328850.6,169078.935,624,91609.7,47067.0783,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T02:00:00Z,0.509,0.51,0.499,0.507,1056994.3,532420.0456,1971,492680.7,248167.8039,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T03:00:00Z,0.506,0.508,0.498,0.505,741043.3,372494.5394,1336,310403.1,156029.72,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T04:00:00Z,0.505,0.514,0.504,0.507,734883.2,374400.5621,1534,392030.1,199993.9482,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T05:00:00Z,0.507,0.513,0.507,0.511,248569.3,126796.3086,455,158678.8,80962.3469,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T06:00:00Z,0.511,0.512,0.506,0.507,396534.9,201701.3365,574,176696.0,89915.6537,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T07:00:00Z,0.507,0.509,0.501,0.504,437047.4,220641.2931,791,217392.5,109710.2923,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T08:00:00Z,0.504,0.506,0.5,0.5,544949.2,273555.777,719,255313.7,128293.3982,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T09:00:00Z,0.5,0.504,0.493,0.502,920820.5,458514.5921,1339,499076.4,248401.4638,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T10:00:00Z,0.501,0.504,0.497,0.504,286825.9,143518.1153,497,127642.2,63867.618,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T11:00:00Z,0.504,0.505,0.501,0.502,221553.4,111380.8545,402,103757.4,52181.0611,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T12:00:00Z,0.501,0.505,0.5,0.501,416749.5,209214.2376,621,163522.9,82178.8084,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T13:00:00Z,0.502,0.512,0.501,0.508,727622.9,369711.3004,1307,513540.1,261050.558,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T14:00:00Z,0.507,0.518,0.502,0.503,1999976.4,1018208.5208,2252,1290199.2,656765.3051,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T15:00:00Z,0.504,0.505,0.501,0.502,373374.6,187935.518,576,190237.5,95816.2071,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T16:00:00Z,0.501,0.505,0.487,0.496,1037576.5,514465.529,2187,500874.1,248093.759,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T17:00:00Z,0.497,0.499,0.488,0.489,766276.4,376790.3596,1148,382245.0,188150.2398,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T18:00:00Z,0.489,0.491,0.48,0.486,871877.4,422834.603,1219,472928.1,229449.3298,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T19:00:00Z,0.486,0.488,0.471,0.48,1017580.8,485854.3321,1851,535802.1,255938.3599,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T20:00:00Z,0.481,0.489,0.48,0.485,634584.4,307605.58,1425,356019.7,172662.4306,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T21:00:00Z,0.486,0.491,0.478,0.483,715151.1,347323.7637,1192,312470.1,151930.65,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T22:00:00Z,0.484,0.497,0.479,0.489,2198832.8,1076539.9206,2787,1168555.9,571802.3514,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-21T23:00:00Z,0.489,0.512,0.489,0.502,4246536.7,2122190.5799,3936,2011196.1,1003276.4272,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-22T00:00:00Z,0.501,0.513,0.499,0.508,977683.0,497417.8231,1590,365011.1,185583.0453,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-22T01:00:00Z,0.509,0.512,0.507,0.51,274037.1,139735.9209,511,98086.5,50003.3787,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
2022-11-22T02:00:00Z,0.511,0.528,0.507,0.523,1733372.6,896067.8089,2385,766594.6,395931.0143,"Binance public spot REST API /api/v3/klines, symbol=CRVUSDT, interval=1h"
