exchange,pair,period,reported_24h_volume_usd,benford_ks_statistic,benford_ks_pvalue,tail_exponent,trade_size_std_dev,buy_sell_ratio_range,retail_clustering_score
Poloniex,TRX/USDT,2023-Q1,285000000,0.118,0.001,4.3,380,0.03,0.18
Poloniex,BTT/USDT,2023-Q1,48000000,0.132,0.001,5.1,120,0.04,0.15
Poloniex,JST/USDT,2023-Q1,22000000,0.148,0.001,4.8,85,0.02,0.12
Poloniex,SUN/USDT,2023-Q1,18000000,0.155,0.001,5.3,62,0.03,0.11
Poloniex,WIN/USDT,2023-Q1,15000000,0.141,0.001,4.9,54,0.03,0.14
Poloniex,TRX/USDT,2023-Q2,295000000,0.121,0.001,4.2,390,0.03,0.19
Poloniex,BTT/USDT,2023-Q2,52000000,0.129,0.001,5.0,125,0.04,0.16
Poloniex,JST/USDT,2023-Q2,25000000,0.145,0.001,4.7,90,0.02,0.13
Poloniex,TRX/USDT,2023-Q3,310000000,0.122,0.001,4.1,395,0.03,0.19
Poloniex,BTT/USDT,2023-Q3,45000000,0.135,0.001,5.2,115,0.04,0.15
Poloniex,JST/USDT,2023-Q3,20000000,0.151,0.001,4.9,80,0.02,0.11
Poloniex,TRX/USDT,2023-Q4-pre-hack,320000000,0.119,0.001,4.0,400,0.03,0.20
Poloniex,TRX/USDT,2023-Q4-post-hack,8000000,0.038,0.35,2.9,920,0.16,0.52
Poloniex,BTT/USDT,2023-Q4-post-hack,2500000,0.042,0.30,3.0,450,0.15,0.48
Poloniex,JST/USDT,2023-Q4-post-hack,1200000,0.035,0.40,2.8,320,0.17,0.55
Binance,TRX/USDT,2023-Q1,420000000,0.009,0.95,2.6,1850,0.22,0.71
Binance,BTT/USDT,2023-Q1,32000000,0.012,0.88,3.1,580,0.19,0.65
Binance,JST/USDT,2023-Q1,8000000,0.015,0.82,2.9,210,0.21,0.58
Binance,TRX/USDT,2023-Q3,440000000,0.008,0.96,2.5,1900,0.23,0.72
OKX,TRX/USDT,2023-Q1,180000000,0.013,0.85,2.8,1420,0.18,0.64
OKX,TRX/USDT,2023-Q3,195000000,0.012,0.87,2.7,1480,0.19,0.66
Coinbase,TRX/USD,2023-Q1,15000000,0.007,0.97,2.4,2100,0.25,0.82
