exchange,pair,period,reported_24h_volume_usd,estimated_real_volume_pct,benford_ks_statistic,benford_ks_pvalue,trade_size_std_dev,buy_sell_ratio_range,order_book_2pct_depth_usd,volume_to_depth_ratio
BitForex,BTC/USDT,2023-Q3,1800000000,3.2,0.142,0.001,12.4,0.03,180000,10000
BitForex,ETH/USDT,2023-Q3,920000000,2.8,0.138,0.001,8.7,0.04,95000,9684
BitForex,BF/USDT,2023-Q3,45000000,1.5,0.165,0.001,3.2,0.02,8500,5294
BitForex,BTC/USDT,2023-Q4,1650000000,2.9,0.148,0.001,11.8,0.03,165000,10000
BitForex,ETH/USDT,2023-Q4,850000000,2.5,0.141,0.001,8.2,0.03,88000,9659
BitForex,BF/USDT,2023-Q4,38000000,1.2,0.171,0.001,2.9,0.02,7200,5278
Binance,BTC/USDT,2023-Q3,15200000000,98.5,0.008,0.95,45.6,0.22,45000000,338
Binance,ETH/USDT,2023-Q3,6800000000,97.8,0.011,0.91,38.2,0.19,28000000,243
Coinbase,BTC/USD,2023-Q3,2100000000,99.1,0.006,0.98,52.3,0.25,12000000,175
OKX,BTC/USDT,2023-Q3,2400000000,96.2,0.012,0.89,41.8,0.21,18000000,133
Kraken,BTC/USD,2023-Q3,800000000,98.8,0.007,0.97,48.1,0.23,8500000,94
Gate.io,BTC/USDT,2023-Q3,1200000000,78.5,0.034,0.42,32.1,0.17,5200000,231
Huobi,BTC/USDT,2023-Q3,950000000,45.3,0.067,0.12,22.4,0.08,3800000,250
