window,timestamp_utc,price_usd,total_volume_usd,market_cap_usd,period_return_pct
march,2026-03-16T00:04:10Z,0.5990177934,6960594.47,435898362.26,
march,2026-03-16T01:03:59Z,0.5907212488,7096855.44,429147086.49,-1.3850
march,2026-03-16T02:03:56Z,0.6111962123,7175880.15,445064754.73,3.4661
march,2026-03-16T03:03:31Z,0.6472080642,10224854.02,470295486.10,5.8920
march,2026-03-16T04:04:42Z,0.6480115074,11236020.12,471930779.02,0.1241
march,2026-03-16T05:04:24Z,0.6294845956,11357500.69,458280993.87,-2.8590
march,2026-03-16T06:04:28Z,0.6474124963,12918139.48,470689717.56,2.8480
march,2026-03-16T07:04:23Z,0.6363576403,12883439.39,463372747.49,-1.7075
march,2026-03-16T08:03:42Z,0.6361341785,12911765.75,463154653.14,-0.0351
march,2026-03-16T09:03:32Z,0.6300338579,12284772.49,460050642.75,-0.9590
march,2026-03-16T10:02:18Z,0.6331044473,12158758.49,461108057.86,0.4874
march,2026-03-16T11:02:24Z,0.6372066261,11624242.86,463689103.79,0.6479
march,2026-03-16T12:02:38Z,0.6295219026,11587973.01,458216360.27,-1.2060
march,2026-03-16T13:02:33Z,0.6228923748,11439157.95,453557217.54,-1.0531
march,2026-03-16T14:02:32Z,0.6168630635,10693038.68,448945322.09,-0.9680
march,2026-03-16T15:02:27Z,0.6234205030,10540412.51,453936876.13,1.0630
march,2026-03-16T16:02:26Z,0.6205032166,10931281.41,452615194.56,-0.4679
march,2026-03-16T17:02:25Z,0.5648095806,14072696.80,406135887.02,-8.9756
march,2026-03-16T18:03:41Z,0.4724990630,14968451.50,344120503.96,-16.3437
march,2026-03-16T19:03:12Z,0.4625998010,24303106.43,336927184.81,-2.0951
march,2026-03-16T20:03:06Z,0.4508994117,26682550.10,330262431.27,-2.5293
march,2026-03-16T21:03:57Z,0.4181109320,21766547.88,304517241.36,-7.2718
march,2026-03-16T22:03:55Z,0.5343416332,24261758.19,386921679.73,27.7990
march,2026-03-16T23:00:49Z,0.5053435231,24944116.65,367886028.45,-5.4269
march,2026-03-17T00:00:49Z,0.4672727937,30351816.30,341578852.89,-7.5336
march,2026-03-17T01:01:13Z,0.5018036904,31274896.50,364534315.73,7.3899
march,2026-03-17T02:03:05Z,0.6016277337,28863872.74,437587740.95,19.8930
march,2026-03-17T03:04:17Z,0.6294948597,29227725.59,455131337.98,4.6320
march,2026-03-17T04:03:10Z,0.6490147806,29205212.33,472371017.24,3.1009
march,2026-03-17T05:02:57Z,0.6900603950,30993330.01,499361493.47,6.3243
march,2026-03-17T06:03:48Z,0.6915886676,32173775.97,503817184.84,0.2215
march,2026-03-17T07:03:21Z,0.7761434432,43812857.95,553779499.72,12.2262
march,2026-03-17T08:01:24Z,0.7659036759,49592502.29,557180738.94,-1.3193
march,2026-03-17T09:01:19Z,0.7286955053,50606096.01,530821114.28,-4.8581
march,2026-03-17T10:00:50Z,0.7329549888,50517915.03,533758379.94,0.5845
march,2026-03-17T11:02:13Z,0.7475497755,52827222.54,544376076.65,1.9912
march,2026-03-17T12:02:44Z,0.7737937043,53383668.05,563240380.48,3.5107
march,2026-03-17T13:02:48Z,0.7393431658,44836497.34,544621529.60,-4.4522
march,2026-03-17T14:02:18Z,0.7301924318,45082003.93,537887088.98,-1.2377
march,2026-03-17T15:02:08Z,0.7378959948,55122754.34,538167309.74,1.0550
march,2026-03-17T16:03:03Z,0.7564108256,57506753.37,552076780.18,2.5091
march,2026-03-17T17:03:03Z,0.7339394465,55194352.86,536186720.05,-2.9708
march,2026-03-17T18:02:45Z,0.7252597546,51466743.71,528802049.99,-1.1826
march,2026-03-17T19:02:21Z,0.7144139881,44081312.77,519156067.12,-1.4954
march,2026-03-17T20:02:28Z,0.7328932646,42622759.51,533811548.88,2.5866
march,2026-03-17T21:02:45Z,0.7226761683,41624358.00,526257360.99,-1.3941
march,2026-03-17T22:02:13Z,0.7137086875,40085970.74,519767429.81,-1.2409
march,2026-03-17T23:02:29Z,0.7153044094,38580310.72,520982129.50,0.2236
march,2026-03-18T00:03:44Z,0.7240438063,38342684.66,527761696.74,1.2218
march,2026-03-18T01:03:05Z,0.7280394853,39126564.05,532104732.77,0.5519
march,2026-03-18T02:03:31Z,0.7774308544,38631092.49,572940477.16,6.7842
march,2026-03-18T03:03:29Z,0.7657922971,33211530.65,557693382.56,-1.4971
march,2026-03-18T04:02:49Z,0.8287188293,38204066.19,603485995.52,8.2172
march,2026-03-18T05:03:25Z,0.8157693969,38174719.00,594825101.17,-1.5626
march,2026-03-18T06:02:44Z,0.8158552112,35581985.02,593768560.29,0.0105
march,2026-03-18T07:03:47Z,0.8268972002,29344858.88,601787183.23,1.3534
march,2026-03-18T08:03:00Z,0.8835549485,29334388.81,641350389.64,6.8518
march,2026-03-18T09:03:00Z,0.8613696640,30534133.10,626782134.02,-2.5109
march,2026-03-18T10:02:59Z,0.8683565672,30271535.97,631924496.99,0.8111
march,2026-03-18T11:02:57Z,0.8608588589,29966774.91,624956336.11,-0.8634
march,2026-03-18T12:03:14Z,0.8908023362,29009471.82,650485508.31,3.4783
march,2026-03-18T13:02:52Z,0.8717165722,29051424.79,633822501.20,-2.1425
march,2026-03-18T14:03:41Z,0.8658804747,29160047.14,629552197.02,-0.6695
march,2026-03-18T15:02:47Z,0.8842672758,29157375.33,644349419.29,2.1235
march,2026-03-18T16:02:20Z,0.9008453220,28959461.04,656713671.77,1.8748
march,2026-03-18T17:02:27Z,0.8987548418,29387573.33,655950805.49,-0.2321
march,2026-03-18T18:02:23Z,0.8905495186,29161510.71,647805409.46,-0.9130
march,2026-03-18T19:00:40Z,0.8889511027,28985033.84,647832511.45,-0.1795
march,2026-03-18T20:02:39Z,0.9018661052,27829951.31,656751360.42,1.4528
march,2026-03-18T21:02:33Z,0.8875770832,28679283.98,646422213.08,-1.5844
march,2026-03-18T22:03:18Z,0.8961537450,28503050.17,653473212.23,0.9663
march,2026-03-18T23:03:05Z,0.8853067428,24746034.43,644377457.78,-1.2104
march,2026-03-19T00:02:59Z,0.8913749038,31151845.87,650511956.13,0.6854
march,2026-03-19T01:03:44Z,0.8921966336,30526888.02,647947586.47,0.0922
march,2026-03-19T02:02:54Z,0.8844249631,29929682.54,646437010.63,-0.8711
march,2026-03-19T03:03:06Z,0.8930305188,29496569.37,649503433.85,0.9730
march,2026-03-19T04:02:43Z,0.8960352407,27783534.85,652370992.13,0.3365
march,2026-03-19T05:03:32Z,0.9220605401,26313540.58,670261930.78,2.9045
march,2026-03-19T06:02:38Z,0.9647463531,27874115.55,697654253.56,4.6294
march,2026-03-19T07:03:13Z,0.9200301307,28119950.13,669917229.79,-4.6350
march,2026-03-19T08:01:21Z,0.9039432499,26169239.71,659520443.66,-1.7485
march,2026-03-19T09:01:29Z,0.8618943627,29094948.27,624633557.06,-4.6517
march,2026-03-19T10:02:36Z,0.8379917726,29827931.11,611333377.98,-2.7733
march,2026-03-19T11:02:59Z,0.8245750252,30753420.90,600766830.40,-1.6011
march,2026-03-19T12:00:29Z,0.8501587011,30629793.99,619131294.14,3.1026
march,2026-03-19T13:02:41Z,0.8466405151,26258834.71,614260261.44,-0.4138
march,2026-03-19T14:02:36Z,0.8278960232,27783169.97,603223698.73,-2.2140
march,2026-03-19T15:02:59Z,0.7952525885,27619559.44,584311242.40,-3.9429
march,2026-03-19T16:02:51Z,0.8238406416,27251593.09,599995527.86,3.5948
march,2026-03-19T17:02:39Z,0.8266182260,27014115.97,602189244.41,0.3372
march,2026-03-19T18:03:29Z,0.8098045202,26618904.67,590418535.92,-2.0340
march,2026-03-19T19:01:48Z,0.7955316533,26259360.18,582298296.40,-1.7625
march,2026-03-19T20:01:48Z,0.7969780930,23134663.59,580168572.17,0.1818
march,2026-03-19T21:00:11Z,0.7755219339,25923807.27,567363239.82,-2.6922
march,2026-03-19T22:02:50Z,0.7891704843,26060457.01,575699614.96,1.7599
march,2026-03-19T23:03:33Z,0.7976919266,26326923.10,582109928.97,1.0798
march,2026-03-20T00:03:16Z,0.7871791003,23533515.25,573208852.53,-1.3179
march,2026-03-20T01:03:02Z,0.7947197957,22830675.65,578627686.48,0.9579
march,2026-03-20T02:02:48Z,0.8165274015,22669893.62,594820112.97,2.7441
march,2026-03-20T03:02:17Z,0.8798849450,24044248.07,650046299.96,7.7594
march,2026-03-20T04:02:45Z,0.8986908152,21309798.92,655273768.83,2.1373
march,2026-03-20T05:02:40Z,0.8999514764,22690517.77,653562458.12,0.1403
march,2026-03-20T06:02:54Z,0.9115787843,23247249.11,662795295.73,1.2920
march,2026-03-20T07:01:45Z,0.9158110915,22644470.66,666668462.57,0.4643
march,2026-03-20T08:03:40Z,0.9162963506,21646538.20,666786824.17,0.0530
march,2026-03-20T09:03:14Z,0.9153895641,18530477.60,667045493.91,-0.0990
march,2026-03-20T10:02:19Z,0.9222057711,13854330.04,671634720.27,0.7446
march,2026-03-20T11:01:00Z,0.9160264859,13495318.77,667673385.79,-0.6701
march,2026-03-20T12:00:52Z,0.9202047081,12816906.51,672120222.14,0.4561
march,2026-03-20T13:02:12Z,0.9287873066,11971341.50,673202606.34,0.9327
march,2026-03-20T14:02:10Z,0.9327516169,11839004.57,681257518.33,0.4268
march,2026-03-20T15:02:13Z,0.9124768639,11206829.48,666305826.11,-2.1736
march,2026-03-20T16:02:32Z,0.9144084653,10583723.82,666145362.87,0.2117
march,2026-03-20T17:02:40Z,0.9192044865,10383422.99,669982002.97,0.5245
march,2026-03-20T18:00:24Z,0.9183270164,10017550.96,668596178.78,-0.0955
march,2026-03-20T19:00:27Z,0.9164986482,10097560.88,667302375.95,-0.1991
march,2026-03-20T20:01:58Z,0.9253885431,9901290.89,673709716.37,0.9700
march,2026-03-20T21:00:12Z,0.9234178838,9795606.51,672420269.03,-0.2130
march,2026-03-20T22:03:36Z,0.9233590034,9654435.34,672098410.32,-0.0064
march,2026-03-20T23:01:11Z,0.9227686933,9335588.11,671898218.29,-0.0639
march,2026-03-21T00:01:19Z,0.9050113320,9550067.57,658780759.37,-1.9244
march,2026-03-21T01:01:58Z,0.9136915307,9399751.97,665359059.35,0.9591
march,2026-03-21T02:02:24Z,0.9218215403,9505624.95,670978964.09,0.8898
march,2026-03-21T03:02:15Z,0.9191702387,7092138.49,668138941.35,-0.2876
march,2026-03-21T04:02:09Z,0.9166251518,7380318.88,665818923.43,-0.2769
march,2026-03-21T05:02:36Z,0.9208551667,7175456.15,671404268.40,0.4615
