rank,exchange,symbol,exact_size,trade_count,share,buy_count,sell_count,median_interarrival_seconds,p90_interarrival_seconds,first_seen_utc,last_seen_utc
1,HTX,TRXUSDT,8.42,458,0.12361673414304994,235,223,0.0,172.5098,2026-05-19T16:42:04.224000+00:00,2026-05-20T00:48:05.461000+00:00
2,HTX,TRXUSDT,8.41,364,0.09824561403508772,168,196,0.0,186.06380000000016,2026-05-19T19:48:00.965000+00:00,2026-05-20T00:47:50.491000+00:00
3,HTX,TRXUSDT,8.43,357,0.09635627530364373,184,173,0.0,114.47749999999999,2026-05-19T16:37:45.050000+00:00,2026-05-19T22:15:45.317000+00:00
4,HTX,TRXUSDT,8.44,234,0.06315789473684211,123,111,0.0,68.94580000000003,2026-05-19T16:37:51.755000+00:00,2026-05-19T18:14:59.620000+00:00
5,HTX,TRXUSDT,2.8,185,0.04993252361673414,0,185,0.002,0.1853000000000007,2026-05-19T18:55:01.046000+00:00,2026-05-19T21:52:40.558000+00:00
6,HTX,TRXUSDT,2.81,112,0.030229419703103912,0,112,0.002,0.142,2026-05-19T17:34:48.794000+00:00,2026-05-19T20:28:09.332000+00:00
7,HTX,TRXUSDT,8.4,39,0.010526315789473684,18,21,0.0,425.99180000000007,2026-05-19T17:04:31.671000+00:00,2026-05-20T00:43:24.407000+00:00
8,HTX,TRXUSDT,2841.56,37,0.009986504723346829,19,18,402.944,1527.8755,2026-05-19T16:42:32.605000+00:00,2026-05-20T00:28:33.015000+00:00
9,HTX,TRXUSDT,84.25,20,0.005398110661268556,0,20,0.001,0.03419999999999991,2026-05-19T16:58:04.091000+00:00,2026-05-19T16:58:04.995000+00:00
10,HTX,TRXUSDT,8.45,20,0.005398110661268556,11,9,24.082,294.21299999999974,2026-05-19T17:15:19.629000+00:00,2026-05-19T18:07:58.362000+00:00
11,HTX,TRXUSDT,84.529186519285,20,0.005398110661268556,20,0,0.005,0.04179999999999997,2026-05-19T18:01:01.060000+00:00,2026-05-19T18:01:15.116000+00:00
12,HTX,TRXUSDT,84.36,20,0.005398110661268556,0,20,0.001,0.006,2026-05-19T18:01:44.085000+00:00,2026-05-19T18:01:44.124000+00:00
