exchange,symbol,min_size,min_notional,lot_size,price_tick,amount_precision,price_precision,source
HTX,BTCUSDT,1e-05,1,,0.01,6,2,https://api.huobi.pro/v1/common/symbols
HTX,DOGEUSDT,1,1,,1e-06,2,6,https://api.huobi.pro/v1/common/symbols
HTX,ETHUSDT,0.0001,1,,0.01,4,2,https://api.huobi.pro/v1/common/symbols
HTX,SOLUSDT,0.01,1,,0.0001,3,4,https://api.huobi.pro/v1/common/symbols
HTX,TRXUSDT,1,1,,1e-06,2,6,https://api.huobi.pro/v1/common/symbols
HTX,XRPUSDT,1,1,,1e-05,2,5,https://api.huobi.pro/v1/common/symbols
OKX,DOGE-USDT,10,,0.000001,0.00001,,,https://www.okx.com/api/v5/public/instruments?instType=SPOT
OKX,SOL-USDT,0.01,,0.000001,0.01,,,https://www.okx.com/api/v5/public/instruments?instType=SPOT
OKX,TRX-USDT,1,,0.000001,0.00001,,,https://www.okx.com/api/v5/public/instruments?instType=SPOT
OKX,XRP-USDT,1,,0.000001,0.0001,,,https://www.okx.com/api/v5/public/instruments?instType=SPOT
