exchange,symbol,trades,sample_start_utc,sample_end_utc,sample_span_minutes,median_price,top_exact_size,top_exact_size_count,top_exact_size_share,top_exact_size_notional,top_size_to_min_size,top_notional_to_min_notional,unique_size_share,benford_l1_distance,second_of_minute_chi_square,buy_count,sell_count
HTX,BTCUSDT,2303,2026-05-19T20:11:04.981000+00:00,2026-05-20T00:54:11.756000+00:00,283.11291666666665,76832.05,1.6e-05,580,0.2518454190186713,1.2293128,1.5999999999999999,1.2293128,0.55188884064264,0.4279009292104658,339.5271385149804,1023,1280
HTX,DOGEUSDT,2484,2026-05-19T13:49:03.530000+00:00,2026-05-20T00:54:10.256000+00:00,665.1121,0.103347,12.6,230,0.09259259259259259,1.3021722,12.6,1.3021722,0.46215780998389694,0.6252656072608322,666.7246376811592,1222,1262
HTX,ETHUSDT,2322,2026-05-19T23:34:01.911000+00:00,2026-05-20T00:54:12.763000+00:00,80.18086666666666,2110.685,0.001,314,0.13522825150732126,2.110685,10.0,2.110685,0.3652024117140396,0.3285965081237708,185.75193798449615,1336,986
HTX,SOLUSDT,2309,2026-05-19T16:50:08.865000+00:00,2026-05-20T00:54:14.214000+00:00,484.08915,84.4555,0.015,129,0.05586834127327848,1.2668325,1.5,1.2668325,0.7115634473798181,0.11817946919298646,342.30359462970983,1140,1169
HTX,TRXUSDT,3705,2026-05-19T16:37:05.413000+00:00,2026-05-20T00:53:07.777000+00:00,496.0394,0.355718,8.42,458,0.12361673414304994,2.9951455599999997,8.42,2.9951455599999997,0.33765182186234816,1.0003032602057509,641.2186234817813,1978,1727
HTX,XRPUSDT,2313,2026-05-19T13:21:39.630000+00:00,2026-05-20T00:53:53.332000+00:00,692.2283666666667,1.366,1.1,341,0.1474275832252486,1.5026000000000002,1.1,1.5026000000000002,0.5910073497622136,0.2561599442462465,291.64332036316483,1102,1211
OKX,DOGE-USDT,500,2026-05-20T00:42:30.525000+00:00,2026-05-20T00:54:15.837000+00:00,11.7552,0.10269,15.0,88,0.176,1.54035,1.5,,0.716,0.391577516576788,380.3199999999998,302,198
OKX,SOL-USDT,500,2026-05-20T00:46:08.223000+00:00,2026-05-20T00:54:16.196000+00:00,8.132883333333334,84.22,1e-06,12,0.024,8.421999999999999e-05,9.999999999999999e-05,,0.67,0.3942425094393249,235.84000000000006,237,263
OKX,TRX-USDT,500,2026-05-20T00:15:19.819000+00:00,2026-05-20T00:53:54.128000+00:00,38.57181666666666,0.35628,1.5,13,0.026,0.53442,1.5,,0.896,0.21963496377727507,702.4000000000002,256,244
OKX,XRP-USDT,500,2026-05-20T00:44:33.207000+00:00,2026-05-20T00:54:20.008000+00:00,9.780016666666667,1.3544,1.5,75,0.15,2.0316,1.5,,0.748,0.24995611471666415,543.0399999999998,267,233
