venue,pair,snapshot_at_utc,trade_id,side,price,size_base,notional_quote,exchange_time_raw,normalized_time_utc
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208281,BUY,77206.34,0.0005,38.60317,2026-05-21 20:07:06,2026-05-21T12:07:06Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208280,SELL,77206.35,0.0006,46.32381,2026-05-21 20:07:05,2026-05-21T12:07:05Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208279,SELL,77199.09,0.001,77.19909,2026-05-21 20:07:01,2026-05-21T12:07:01Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208278,SELL,77199.1,0.0002,15.43982,2026-05-21 20:06:59,2026-05-21T12:06:59Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208277,SELL,77199.15,0.0011,84.919065,2026-05-21 20:06:57,2026-05-21T12:06:57Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208276,SELL,77199.15,0.0008,61.75932,2026-05-21 20:06:57,2026-05-21T12:06:57Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208275,BUY,77199.15,0.1277,9858.331455,2026-05-21 20:06:56,2026-05-21T12:06:56Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208274,SELL,77199.15,0.0003,23.159745,2026-05-21 20:06:54,2026-05-21T12:06:54Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208273,SELL,77199.23,0.1055,8144.518765,2026-05-21 20:06:52,2026-05-21T12:06:52Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208272,BUY,77211.04,0.0012,92.653248,2026-05-21 20:06:44,2026-05-21T12:06:44Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208271,SELL,77222.74,0.2062,15923.328988,2026-05-21 20:06:40,2026-05-21T12:06:40Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208270,SELL,77222.74,0.0006,46.333644,2026-05-21 20:06:40,2026-05-21T12:06:40Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208269,SELL,77222.73,0.0546,4216.361058,2026-05-21 20:06:39,2026-05-21T12:06:39Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208268,SELL,77222.73,0.0524,4046.471052,2026-05-21 20:06:39,2026-05-21T12:06:39Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208267,SELL,77222.73,0.0729,5629.537017,2026-05-21 20:06:39,2026-05-21T12:06:39Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208266,SELL,77222.73,0.0375,2895.852375,2026-05-21 20:06:39,2026-05-21T12:06:39Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208265,SELL,77222.73,0.0276,2131.347348,2026-05-21 20:06:39,2026-05-21T12:06:39Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208264,SELL,77223.65,2.6078,201383.83447,2026-05-21 20:06:37,2026-05-21T12:06:37Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208263,BUY,77227.94,0.0014,108.119116,2026-05-21 20:06:34,2026-05-21T12:06:34Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208262,SELL,77227.92,0.3193,24658.874856,2026-05-21 20:06:31,2026-05-21T12:06:31Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208261,SELL,77227.95,0.0011,84.950745,2026-05-21 20:06:29,2026-05-21T12:06:29Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208260,BUY,77227.72,0.0004,30.891088,2026-05-21 20:06:27,2026-05-21T12:06:27Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208259,BUY,77225.24,1.8117,139908.967308,2026-05-21 20:06:25,2026-05-21T12:06:25Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208258,SELL,77225.35,0.0011,84.947885,2026-05-21 20:06:23,2026-05-21T12:06:23Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208257,SELL,77225.34,0.0007,54.057738,2026-05-21 20:06:21,2026-05-21T12:06:21Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208256,SELL,77225.26,0.0002,15.445052,2026-05-21 20:06:19,2026-05-21T12:06:19Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208255,SELL,77239.33,0.0403,3112.744999,2026-05-21 20:06:08,2026-05-21T12:06:08Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208254,SELL,77239.33,0.0358,2765.168014,2026-05-21 20:06:08,2026-05-21T12:06:08Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208253,SELL,77239.33,0.0593,4580.292269,2026-05-21 20:06:08,2026-05-21T12:06:08Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208252,SELL,77239.33,0.0264,2039.118312,2026-05-21 20:06:08,2026-05-21T12:06:08Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208251,SELL,77239.33,0.0817,6310.453261,2026-05-21 20:06:08,2026-05-21T12:06:08Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208250,SELL,77239.35,0.0005,38.619675,2026-05-21 20:06:07,2026-05-21T12:06:07Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208249,SELL,77243.74,0.1584,12235.408416,2026-05-21 20:06:04,2026-05-21T12:06:04Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208248,SELL,77243.74,0.4097,31646.760278,2026-05-21 20:06:04,2026-05-21T12:06:04Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208247,SELL,77234.35,0.0005,38.617175,2026-05-21 20:05:57,2026-05-21T12:05:57Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208246,SELL,77251.65,1.4071,108700.796715,2026-05-21 20:05:55,2026-05-21T12:05:55Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208245,SELL,77251.65,0.0591,4565.572515,2026-05-21 20:05:48,2026-05-21T12:05:48Z
CoinW,BTC_USDT,2026-05-21T12:07:05Z,151208244,SELL,77251.64,0.0008,61.801312,2026-05-21 20:05:46,2026-05-21T12:05:46Z
