venue,pair,snapshot_at_utc,trade_count,window_seconds,trades_per_second,reported_24h_quote_volume,median_recent_trade_quote,p90_recent_trade_quote,mean_recent_trade_quote,sum_recent_trades_quote,projected_24h_quote_from_recent_feed,reported_to_projected_ratio,same_price_transition_share,same_second_cluster_share,top_size,top_size_repeat_count,top_size_repeat_share,top20_depth_quote,volume_to_top20_depth,spread_bps
CoinW,BTC_USDT,2026-05-21T12:07:05Z,50,106.000,0.471698,547426548.490000,2830.510194,139908.967308,45563.224391,2278161.219546,1856916314.799758,0.294804,0.428571,0.320000,0.0005,3,0.060000,358685.814435,1526.200721,0.003886
CoinW,ETH_USDT,2026-05-21T12:07:05Z,50,238.000,0.210084,165045630.750000,822.715019,18804.118950,8129.016467,406450.823366,147551895.541271,1.118560,0.428571,0.080000,3.4094,2,0.040000,808537.531218,204.128596,0.141910
CoinW,SOL_USDT,2026-05-21T12:07:05Z,50,36.000,1.388889,108371238.990970,214.435915,869.800457,610.609137,30530.456855,73273096.451016,1.479004,0.061224,0.200000,6.905,8,0.160000,679427.613171,159.503731,16.178070
CoinW,XRP_USDT,2026-05-21T12:07:05Z,50,524.000,0.095420,22642701.109000,1848.929300,9586.933100,3240.924450,162046.222500,26719071.801527,0.847436,0.673469,0.060000,73.3,4,0.080000,1309651.047700,17.289110,21.994135
CoinW,DOGE_USDT,2026-05-21T12:07:05Z,50,502.000,0.099602,10121758.799090,57.555143,2111.332588,895.326271,44766.313535,7704799.779666,1.313695,0.142857,0.120000,136.771,2,0.040000,634337.770039,15.956418,3.062934
Coinbase Exchange,BTC-USD,2026-05-21T12:07:05Z,100,24.634,4.059479,490674094.045487,19.431355,749.354825,1021.387815,102138.781460,358240540.464170,1.369678,0.515152,0.790000,0.00000003,4,0.040000,496982.487649,987.306608,0.001297
Coinbase Exchange,ETH-USD,2026-05-21T12:07:05Z,100,26.672,3.749236,189738689.479708,199.869390,2063.293217,533.974545,53397.454452,172972509.274622,1.096930,0.757576,0.890000,1.00050695,6,0.060000,156281.331393,1214.084163,0.047333
Coinbase Exchange,SOL-USD,2026-05-21T12:07:05Z,100,52.320,1.911333,71043762.470390,21.754551,1181.605331,427.925114,42792.511433,70667189.068714,1.005329,0.797980,0.760000,0.01300000,11,0.110000,1957012.521430,36.302150,1.169591
Coinbase Exchange,XRP-USD,2026-05-21T12:07:05Z,100,57.500,1.739142,77522054.447294,72.479012,1022.766043,478.021468,47802.146835,71828382.456582,1.079268,0.696970,0.810000,0.90000000,18,0.180000,1250415.835650,61.997019,0.733837
Coinbase Exchange,DOGE-USD,2026-05-21T12:07:05Z,100,471.141,0.212250,16638725.628382,3.547340,208.840000,80.927425,8092.742542,1484082.719516,11.211454,0.404040,0.530000,10.60000000,41,0.410000,820259.309063,20.284714,0.957946
