month,n_trades,clip_share,clip_net,benford_ks,clip_notional,score
202507,264734,0.0045,0.814,0.048,23634.0,0.121
202508,194910,0.018,0.004,0.021,10915.0,0.255
202509,159107,0.0185,0.011,0.034,9142.0,0.303
202510,187684,0.0608,0.003,0.119,35353.0,0.684
202511,223122,0.059,0.0,0.09,40935.0,0.617
202512,123467,0.0514,0.006,0.056,19708.0,0.503
202601,78696,0.0244,0.071,0.036,5918.0,0.332
202602,93087,0.0344,0.018,0.171,11911.0,0.608
202603,113169,0.1836,0.108,0.105,182290.0,0.854
202604,79597,0.3996,0.104,0.262,299928.0,0.964
202605,65164,0.4938,0.083,0.346,306143.0,0.972
