trade_id,time_utc,side,price,size,notional_usd
340583407,2026-06-08T17:48:57.362656+00:00,sell,67.02,0.28996867,19.43370026
340583409,2026-06-08T17:48:58.904921+00:00,buy,67.01,25.91120259,1736.30968556
340583408,2026-06-08T17:48:58.904921+00:00,buy,67.01,0.00430112,0.28821805
340583410,2026-06-08T17:48:58.907039+00:00,buy,67.01,5.01735978,336.21327886
340583411,2026-06-08T17:48:58.908178+00:00,buy,67.01,13.65421497,914.96894514
340583412,2026-06-08T17:48:58.961509+00:00,buy,67.01,0.61502011,41.21249757
340583413,2026-06-08T17:48:58.962345+00:00,buy,67.01,0.45613117,30.5653497
340583414,2026-06-08T17:48:58.964789+00:00,buy,67.01,0.8291755,55.56305026
340583415,2026-06-08T17:48:58.967783+00:00,buy,67.01,1.20608267,80.81959972
340583416,2026-06-08T17:48:58.969882+00:00,buy,67.01,4.2668733,285.92317983
340583417,2026-06-08T17:48:58.971033+00:00,buy,67.01,0.51552903,34.5456003
340583418,2026-06-08T17:48:58.972494+00:00,buy,67.01,0.59017609,39.54769979
340583419,2026-06-08T17:48:58.975692+00:00,buy,67.01,0.9844818,65.97012542
340583420,2026-06-08T17:48:58.993603+00:00,buy,67.01,1.61932328,108.51085299
340583421,2026-06-08T17:48:58.995885+00:00,buy,67.01,0.99585062,66.73195005
340583422,2026-06-08T17:48:58.998104+00:00,buy,67.01,13.22668496,886.32015917
340583423,2026-06-08T17:48:59.001228+00:00,buy,67.01,1.14990934,77.05542487
340583424,2026-06-08T17:48:59.007479+00:00,buy,67.01,6.25118054,418.89160799
340583425,2026-06-08T17:48:59.010443+00:00,buy,67.01,1.34523504,90.14420003
340583426,2026-06-08T17:48:59.016001+00:00,buy,67.01,7.07895882,474.36103053
340583427,2026-06-08T17:48:59.019553+00:00,buy,67.01,0.95318966,63.87323912
340583428,2026-06-08T17:48:59.022497+00:00,buy,67.01,1.31662327,88.22692532
340583429,2026-06-08T17:48:59.025586+00:00,buy,67.01,1.09438554,73.33477504
340583430,2026-06-08T17:48:59.027501+00:00,buy,67.01,0.64199186,43.01987454
340583431,2026-06-08T17:48:59.028800+00:00,buy,67.01,0.5246952,35.15982535
340583432,2026-06-08T17:48:59.030562+00:00,buy,67.01,0.68785069,46.09287474
340583433,2026-06-08T17:48:59.031982+00:00,buy,67.01,0.5647713,37.84532481
340583434,2026-06-08T17:48:59.033745+00:00,buy,67.01,0.55599016,37.25690062
340583435,2026-06-08T17:48:59.034836+00:00,buy,67.01,0.56227652,37.67814961
340583436,2026-06-08T17:48:59.036929+00:00,buy,67.01,0.69496083,46.56932522
340583437,2026-06-08T17:48:59.037964+00:00,buy,67.01,0.43865729,29.394425
340583438,2026-06-08T17:48:59.040977+00:00,buy,67.01,1.08647664,72.80479965
340583439,2026-06-08T17:48:59.044844+00:00,buy,67.01,1.51242613,101.34767497
340583440,2026-06-08T17:48:59.106880+00:00,buy,67.01,4.06400585,272.32903201
340583441,2026-06-08T17:48:59.109761+00:00,buy,67.01,1.12162066,75.15980043
340583442,2026-06-08T17:48:59.112805+00:00,buy,67.01,1.01212692,67.82262491
340583443,2026-06-08T17:48:59.116190+00:00,buy,67.01,1.23813983,82.96775001
340583444,2026-06-08T17:48:59.119595+00:00,buy,67.01,1.27306036,85.30777472
340583445,2026-06-08T17:48:59.122230+00:00,buy,67.01,1.14051261,76.42575
340583446,2026-06-08T17:48:59.125223+00:00,buy,67.01,1.06328384,71.25065012
340583447,2026-06-08T17:48:59.128282+00:00,buy,67.01,1.09251828,73.20964994
340583448,2026-06-08T17:48:59.131792+00:00,buy,67.01,1.15260968,77.23637466
340583449,2026-06-08T17:48:59.134749+00:00,buy,67.01,1.30958589,87.75535049
340583450,2026-06-08T17:48:59.137833+00:00,buy,67.01,1.13994665,76.38782502
340583451,2026-06-08T17:48:59.140930+00:00,buy,67.01,1.08655797,72.81024957
340583452,2026-06-08T17:48:59.144005+00:00,buy,67.01,1.23032719,82.444225
340583453,2026-06-08T17:48:59.146731+00:00,buy,67.01,1.08076892,72.42232533
340583454,2026-06-08T17:48:59.149471+00:00,buy,67.01,1.04972579,70.34212519
340583455,2026-06-08T17:48:59.152360+00:00,buy,67.01,0.98801111,66.20662448
340583456,2026-06-08T17:48:59.155219+00:00,buy,67.01,1.08639644,72.79942544
340583457,2026-06-08T17:48:59.158565+00:00,buy,67.01,1.11655163,74.82012473
340583458,2026-06-08T17:48:59.161955+00:00,buy,67.01,1.2283883,82.31429998
340583459,2026-06-08T17:48:59.164976+00:00,buy,67.01,1.32290516,88.64787477
340583460,2026-06-08T17:48:59.168083+00:00,buy,67.01,1.13016528,75.73237541
340583461,2026-06-08T17:48:59.171110+00:00,buy,67.01,1.06034211,71.05352479
340583462,2026-06-08T17:48:59.174359+00:00,buy,67.01,1.16491457,78.06092534
340583463,2026-06-08T17:48:59.177602+00:00,buy,67.01,1.24191277,83.22057472
340583464,2026-06-08T17:48:59.180242+00:00,buy,67.01,1.0861502,72.7829249
340583465,2026-06-08T17:48:59.183207+00:00,buy,67.01,1.04973997,70.34307539
340583466,2026-06-08T17:48:59.185941+00:00,buy,67.01,1.09946687,73.67527496
340583467,2026-06-08T17:48:59.188824+00:00,buy,67.01,1.08771414,72.88772452
340583468,2026-06-08T17:48:59.191459+00:00,buy,67.01,0.99792121,66.87070028
340583469,2026-06-08T17:48:59.194640+00:00,buy,67.01,1.02846702,68.91757501
340583470,2026-06-08T17:48:59.197262+00:00,buy,67.01,1.02072415,68.39872529
340583471,2026-06-08T17:48:59.200072+00:00,buy,67.01,1.11111737,74.45597496
340583472,2026-06-08T17:48:59.203206+00:00,buy,67.01,1.07344836,71.9317746
340583473,2026-06-08T17:48:59.206244+00:00,buy,67.01,1.10111961,73.78602507
340583474,2026-06-08T17:49:00.120015+00:00,buy,67.01,29.35582106,1967.13356923
340583475,2026-06-08T17:49:00.122544+00:00,buy,67.01,1.00794285,67.54225038
340583476,2026-06-08T17:49:00.126116+00:00,buy,67.01,1.19343195,79.97187497
340583477,2026-06-08T17:49:00.129754+00:00,buy,67.01,8.74313407,585.87741403
340583478,2026-06-08T17:49:00.132018+00:00,buy,67.01,10.96375381,734.68114281
340583479,2026-06-08T17:49:00.135121+00:00,buy,67.01,3.66418653,245.53713938
340583480,2026-06-08T17:49:00.138320+00:00,buy,67.01,1.08911543,72.98162496
340583481,2026-06-08T17:49:00.141162+00:00,buy,67.01,1.15136808,77.15317504
340583482,2026-06-08T17:49:00.144480+00:00,buy,67.01,1.16060849,77.77237491
340583483,2026-06-08T17:49:00.196319+00:00,buy,67.01,7.6322115,511.43449262
340583484,2026-06-08T17:49:00.233325+00:00,buy,67.01,2.65304049,177.78024323
340583485,2026-06-08T17:49:00.235111+00:00,buy,67.01,12.06472402,808.45715658
340583486,2026-06-08T17:49:00.236840+00:00,buy,67.01,0.46071816,30.8727239
340583487,2026-06-08T17:49:00.238391+00:00,buy,67.01,0.59140651,39.63015024
340583488,2026-06-08T17:49:00.240256+00:00,buy,67.01,10.75842061,720.92176508
340583489,2026-06-08T17:49:00.241313+00:00,buy,67.01,6.75560454,452.69306023
340583490,2026-06-08T17:49:00.243469+00:00,buy,67.01,0.6700153,44.89772525
340583491,2026-06-08T17:49:00.244387+00:00,buy,67.01,0.42748209,28.64557485
340583492,2026-06-08T17:49:00.266914+00:00,buy,67.01,14.16742696,949.35928059
340583493,2026-06-08T17:49:00.268121+00:00,buy,67.01,0.46245001,30.98877517
340583494,2026-06-08T17:49:00.269364+00:00,buy,67.01,0.52761864,35.35572507
340583495,2026-06-08T17:49:00.271282+00:00,buy,67.01,0.6557025,43.93862452
340583496,2026-06-08T17:49:00.272506+00:00,buy,67.01,0.4773698,31.9885503
340583497,2026-06-08T17:49:00.274355+00:00,buy,67.01,0.58097746,38.93129959
340583498,2026-06-08T17:49:00.275913+00:00,buy,67.01,5.25289389,351.99641957
340583499,2026-06-08T17:49:00.277402+00:00,buy,67.01,0.59746531,40.03615042
340583500,2026-06-08T17:49:00.278988+00:00,buy,67.01,0.63065774,42.26037516
340583501,2026-06-08T17:49:00.280323+00:00,buy,67.01,0.51760744,34.68487455
340583502,2026-06-08T17:49:00.282330+00:00,buy,67.01,0.62667736,41.99364989
340583503,2026-06-08T17:49:00.283172+00:00,buy,67.01,0.45164789,30.26492511
340583504,2026-06-08T17:49:00.285130+00:00,buy,67.01,0.72011491,48.25490012
340583505,2026-06-08T17:49:00.288214+00:00,buy,67.01,1.13741867,76.21842508
340583506,2026-06-08T17:49:00.290134+00:00,buy,67.01,0.79536748,53.29757483
340583507,2026-06-08T17:49:00.292036+00:00,buy,67.01,0.54942845,36.81720043
340583508,2026-06-08T17:49:00.295036+00:00,buy,67.01,1.24489106,83.42014993
340583509,2026-06-08T17:49:00.297982+00:00,buy,67.01,1.09176055,73.15887446
340583510,2026-06-08T17:49:00.301083+00:00,buy,67.01,1.16295143,77.92937532
340583511,2026-06-08T17:49:00.304298+00:00,buy,67.01,1.05674041,70.81217487
340583512,2026-06-08T17:49:00.307400+00:00,buy,67.01,1.22863379,82.33075027
340583513,2026-06-08T17:49:00.311131+00:00,buy,67.01,1.14197284,76.52360001
340583514,2026-06-08T17:49:00.314180+00:00,buy,67.01,1.41833495,95.042625
340583515,2026-06-08T17:49:00.317698+00:00,buy,67.01,1.1341199,75.9973745
340583516,2026-06-08T17:49:00.321087+00:00,buy,67.01,1.3565065,90.89950056
340583517,2026-06-08T17:49:00.335844+00:00,buy,67.01,3.91277194,262.1948477
340583518,2026-06-08T17:49:00.338995+00:00,buy,67.01,1.11881808,74.97199954
340583519,2026-06-08T17:49:00.341780+00:00,buy,67.01,1.19529026,80.09640032
340583520,2026-06-08T17:49:00.345059+00:00,buy,67.01,1.08372183,72.62019983
340583521,2026-06-08T17:49:00.348283+00:00,buy,67.01,1.23103045,82.49135045
340583522,2026-06-08T17:49:00.351381+00:00,buy,67.01,1.13894679,76.3208244
340583523,2026-06-08T17:49:00.352525+00:00,buy,67.01,10.62004765,711.64939303
340583525,2026-06-08T17:49:01.736735+00:00,sell,67.02,3.21232283,215.28987607
340583524,2026-06-08T17:49:01.736735+00:00,sell,67.02,6.79375261,455.31729992
340583526,2026-06-08T17:49:01.754048+00:00,sell,67.02,10.00607544,670.60717599
340583527,2026-06-08T17:49:01.768489+00:00,sell,67.02,10.00607544,670.60717599
340583528,2026-06-08T17:49:01.783248+00:00,sell,67.02,10.00607544,670.60717599
340583530,2026-06-08T17:49:01.940367+00:00,buy,67.02,10.00201531,670.33506608
340583529,2026-06-08T17:49:01.940367+00:00,buy,67.02,10.00607544,670.60717599
340583531,2026-06-08T17:49:02.374871+00:00,buy,67.02,7.48772251,501.82716262
340583533,2026-06-08T17:49:02.744392+00:00,buy,67.02,10.00607544,670.60717599
340583532,2026-06-08T17:49:02.744392+00:00,buy,67.02,10.00607544,670.60717599
340583534,2026-06-08T17:49:02.957057+00:00,sell,67.02,0.329,22.04958
340583535,2026-06-08T17:49:04.705187+00:00,sell,67.02,10.00607544,670.60717599
340583537,2026-06-08T17:49:04.716210+00:00,sell,67.02,2.10505575,141.08083636
340583536,2026-06-08T17:49:04.716210+00:00,sell,67.02,7.90101969,529.52633962
340583538,2026-06-08T17:49:06.043721+00:00,sell,67.02,10.00607544,670.60717599
340583539,2026-06-08T17:49:06.046743+00:00,sell,67.02,7.90097561,529.52338538
340583540,2026-06-08T17:49:06.150519+00:00,sell,67.03,10.00607544,670.70723674
340583541,2026-06-08T17:49:06.154961+00:00,sell,67.03,5.78648311,387.86796286
340583543,2026-06-08T17:49:07.815033+00:00,sell,67.04,17.90760346,1200.52573596
340583542,2026-06-08T17:49:07.815033+00:00,sell,67.04,0.017,1.13968
340583545,2026-06-08T17:49:08.337994+00:00,sell,67.05,9.98907544,669.76750825
340583544,2026-06-08T17:49:08.337994+00:00,sell,67.05,0.017,1.13985
340583549,2026-06-08T17:49:10.307231+00:00,sell,67.06,17.89887718,1200.29870369
340583548,2026-06-08T17:49:10.307231+00:00,sell,67.06,7.45782904,500.12201542
340583547,2026-06-08T17:49:10.307231+00:00,sell,67.06,4.39910514,295.00399069
340583546,2026-06-08T17:49:10.307231+00:00,sell,67.06,0.017,1.14002
340583550,2026-06-08T17:49:10.531871+00:00,buy,67.05,0.07072483,4.74209985
340583552,2026-06-08T17:49:12.895630+00:00,sell,67.07,1.51084224,101.33218904
340583551,2026-06-08T17:49:12.895630+00:00,sell,67.07,0.017,1.14019
340583553,2026-06-08T17:49:13.574122+00:00,sell,67.08,18.15682913,1217.96009804
340583554,2026-06-08T17:49:17.828609+00:00,buy,67.07,2.256165,151.32098655
340583556,2026-06-08T17:49:18.720026+00:00,sell,67.08,7.45378652,499.99999976
340583555,2026-06-08T17:49:18.720026+00:00,sell,67.08,0.017,1.14036
340583557,2026-06-08T17:49:18.851695+00:00,sell,67.09,0.01106887,0.74261049
340583559,2026-06-08T17:49:19.466408+00:00,sell,67.09,0.02358587,1.58237602
340583558,2026-06-08T17:49:19.466408+00:00,sell,67.09,0.00593113,0.39791951
340583560,2026-06-08T17:49:20.602096+00:00,sell,67.09,0.30417263,20.40694175
340583561,2026-06-08T17:49:21.293086+00:00,sell,67.07,0.35367691,23.72111035
340583563,2026-06-08T17:49:23.081078+00:00,sell,67.07,0.28438065,19.0734102
340583562,2026-06-08T17:49:23.081078+00:00,sell,67.07,2.54364261,170.60210985
340583564,2026-06-08T17:49:24.125226+00:00,buy,67.06,0.017,1.14002
340583565,2026-06-08T17:49:25.059786+00:00,sell,67.06,0.07010286,4.70109779
340583566,2026-06-08T17:49:25.922793+00:00,buy,67.06,16.95976566,1137.32188516
340583567,2026-06-08T17:49:26.816673+00:00,sell,67.06,18.04023434,1209.77811484
340583569,2026-06-08T17:49:31.510284+00:00,buy,67.07,5.5736064,373.82178125
340583568,2026-06-08T17:49:31.510284+00:00,buy,67.07,0.17891754,11.99999941
340583570,2026-06-08T17:49:31.514123+00:00,sell,67.08,0.017,1.14036
340583573,2026-06-08T17:49:34.542274+00:00,sell,67.09,7.45267551,499.99999997
340583572,2026-06-08T17:49:34.542274+00:00,sell,67.09,34.875,2339.76375
340583571,2026-06-08T17:49:34.542274+00:00,sell,67.09,0.017,1.14053
340583575,2026-06-08T17:49:34.575672+00:00,sell,67.1,0.05371429,3.60422886
340583574,2026-06-08T17:49:34.575672+00:00,sell,67.1,0.017,1.1407
340583577,2026-06-08T17:49:39.997904+00:00,sell,67.1,0.69164427,46.40933052
340583576,2026-06-08T17:49:39.997904+00:00,sell,67.1,0.25008825,16.78092158
340583584,2026-06-08T17:49:40.531342+00:00,buy,67.08,0.82165019,55.11629475
340583583,2026-06-08T17:49:40.531342+00:00,buy,67.08,10.4095124,698.27009179
340583582,2026-06-08T17:49:40.531342+00:00,buy,67.08,24.81296625,1664.45377605
340583581,2026-06-08T17:49:40.531342+00:00,buy,67.08,10.00607544,671.20754052
340583580,2026-06-08T17:49:40.531342+00:00,buy,67.08,10.00607544,671.20754052
340583579,2026-06-08T17:49:40.531342+00:00,buy,67.09,7.45468669,500.13493003
340583578,2026-06-08T17:49:40.531342+00:00,buy,67.09,10.00607544,671.30760127
340583585,2026-06-08T17:49:42.295030+00:00,sell,67.09,1.06070374,71.16261392
340583586,2026-06-08T17:49:43.081082+00:00,sell,67.09,1.81998309,122.10266551
340583587,2026-06-08T17:49:43.109518+00:00,buy,67.09,0.12602588,8.45507629
340583588,2026-06-08T17:49:44.410213+00:00,sell,67.1,3.68852459,247.49999999
340583589,2026-06-08T17:49:46.252500+00:00,buy,67.09,2.5,167.725
340583590,2026-06-08T17:49:48.848327+00:00,buy,67.09,0.17891754,12.00357776
340583597,2026-06-08T17:49:49.518274+00:00,sell,67.11,10.42322315,699.5025056
340583596,2026-06-08T17:49:49.518274+00:00,sell,67.11,24.81296625,1665.19816504
340583595,2026-06-08T17:49:49.518274+00:00,sell,67.11,5.93965022,398.60992626
340583594,2026-06-08T17:49:49.518274+00:00,sell,67.11,17.88670376,1200.37668933
340583593,2026-06-08T17:49:49.518274+00:00,sell,67.11,18.6281222,1250.13328084
340583592,2026-06-08T17:49:49.518274+00:00,sell,67.11,0.017,1.14087
340583591,2026-06-08T17:49:49.518274+00:00,sell,67.11,32.31937903,2168.9535267
340583598,2026-06-08T17:49:50.818820+00:00,buy,67.09,2.24997874,150.95107367
340583599,2026-06-08T17:49:50.821583+00:00,buy,67.09,0.00000001,0.00000067
340583600,2026-06-08T17:49:52.297575+00:00,buy,67.08,0.017,1.14036
340583601,2026-06-08T17:49:53.463564+00:00,sell,67.08,0.07377049,4.94852447
340583606,2026-06-08T17:49:55.366108+00:00,buy,67.07,2.05842794,138.05876194
340583605,2026-06-08T17:49:55.366108+00:00,buy,67.07,2.263521,151.81435347
340583604,2026-06-08T17:49:55.366108+00:00,buy,67.07,10.00607544,671.10747976
