trade_id,time_utc,side,price,size,notional_usd
235344124,2026-06-08T17:47:57.858429+00:00,buy,1.1671,100.099497,116.82612295
235344125,2026-06-08T17:47:58.677810+00:00,buy,1.167,100.099497,116.816113
235344132,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099496,116.80610188
235344131,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099497,116.80610305
235344130,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099497,116.80610305
235344129,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099497,116.80610305
235344128,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099497,116.80610305
235344127,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099497,116.80610305
235344126,2026-06-08T17:47:59.318577+00:00,buy,1.1669,100.099497,116.80610305
235344134,2026-06-08T17:47:59.455512+00:00,buy,1.1669,100.099497,116.80610305
235344133,2026-06-08T17:47:59.455512+00:00,buy,1.1669,0.000001,0.00000117
235344135,2026-06-08T17:47:59.686040+00:00,sell,1.1669,0.000011,0.00001284
235344137,2026-06-08T17:48:00.964437+00:00,buy,1.1668,49.900503,58.2239069
235344136,2026-06-08T17:48:00.964437+00:00,buy,1.1668,100.099497,116.7960931
235344138,2026-06-08T17:48:01.888287+00:00,sell,1.167,972,1134.324
235344139,2026-06-08T17:48:03.438893+00:00,buy,1.167,10.695004,12.48106967
235344140,2026-06-08T17:48:03.816826+00:00,sell,1.1671,1,1.1671
235344141,2026-06-08T17:48:06.043028+00:00,sell,1.1672,1,1.1672
235344142,2026-06-08T17:48:06.046558+00:00,sell,1.1673,1,1.1673
235344143,2026-06-08T17:48:09.044496+00:00,buy,1.1673,1.745568,2.03760153
235344144,2026-06-08T17:48:12.750964+00:00,sell,1.1674,0.000011,0.00001284
235344145,2026-06-08T17:48:13.063789+00:00,sell,1.1674,0.999514,1.16683264
235344147,2026-06-08T17:48:13.164829+00:00,sell,1.1675,0.247819,0.28932868
235344146,2026-06-08T17:48:13.164829+00:00,sell,1.1674,0.000475,0.00055452
235344148,2026-06-08T17:48:13.192493+00:00,sell,1.1675,0.008561,0.00999497
235344149,2026-06-08T17:48:16.017988+00:00,buy,1.1674,605.671207,707.06056705
235344151,2026-06-08T17:48:16.657164+00:00,sell,1.1675,4.344259,5.07192238
235344150,2026-06-08T17:48:16.657164+00:00,sell,1.1675,0.74362,0.86817635
235344152,2026-06-08T17:48:18.041202+00:00,sell,1.1675,4.163597,4.8609995
235344153,2026-06-08T17:48:19.036103+00:00,sell,1.1675,83.229251,97.17015054
235344154,2026-06-08T17:48:19.823351+00:00,sell,1.1675,20.809164,24.29469897
235344155,2026-06-08T17:48:20.691320+00:00,sell,1.1674,12.185352,14.22517992
235344156,2026-06-08T17:48:21.490750+00:00,sell,1.1674,0.000011,0.00001284
235344157,2026-06-08T17:48:21.816136+00:00,sell,1.1674,12.48105,14.57037777
235344158,2026-06-08T17:48:21.853355+00:00,sell,1.1674,8.478994,9.8983776
235344159,2026-06-08T17:48:21.953343+00:00,sell,1.1674,0.635974,0.74243605
