hour,trades,top_two_trades,top_two_share,quote_volume_usdt,top_two_quote_volume_usdt,top_two_quote_share
0,701,168,0.239658,10344.21,2416.92,0.233649
1,682,222,0.325513,12023.22,3210.63,0.267036
2,615,215,0.349593,7787.94,3104.33,0.398607
3,884,232,0.262443,12315.29,3363.11,0.273084
4,618,177,0.286408,9949.17,2597.14,0.261041
5,538,237,0.44052,6639.29,3480.84,0.524278
6,596,246,0.412752,9890.6,3613.58,0.365355
7,560,262,0.467857,7570.19,3837.37,0.506905
8,561,259,0.461676,9156.53,3797.22,0.414701
9,589,266,0.451613,10972.02,3887.99,0.354355
10,618,285,0.461165,11659.23,4162.01,0.356971
11,591,266,0.450085,11385.42,3876.02,0.340437
12,982,232,0.236253,24097.61,3367.58,0.139748
13,698,276,0.395415,12975.89,4016.65,0.309547
14,704,253,0.359375,8698.38,3704.59,0.425894
15,712,177,0.248596,13130.72,2597.38,0.19781
16,734,172,0.234332,12038.93,2509.39,0.20844
17,1037,122,0.117647,24512.25,1776.13,0.072459
18,872,148,0.169725,12050.41,2203.58,0.182863
19,757,153,0.202114,9598.84,2288.84,0.23845
20,550,204,0.370909,7803.79,3055.43,0.391531
21,531,96,0.180791,6017.0,1442.61,0.239756
22,572,157,0.274476,7385.69,2340.11,0.316844
23,573,240,0.418848,9492.6,3559.38,0.374963
