a,p,q,f,l,T,m,M,price,qty,trade_size_usd,symbol
3987120637,63446.34,0.00044,6402588256,6402588256,2026-06-12 03:42:23.718,False,True,63446.34,0.00044,27.9163896,BTCUSDT
3987120638,63446.33,0.0028,6402588257,6402588257,2026-06-12 03:42:23.880,True,True,63446.33,0.0028,177.649724,BTCUSDT
3987120639,63446.34,0.00016,6402588258,6402588258,2026-06-12 03:42:24.271,False,True,63446.34,0.00016,10.1514144,BTCUSDT
3987120640,63446.34,0.00015,6402588259,6402588259,2026-06-12 03:42:24.335,False,True,63446.34,0.00015,9.516950999999999,BTCUSDT
3987120641,63446.34,0.00016,6402588260,6402588260,2026-06-12 03:42:24.370,False,True,63446.34,0.00016,10.1514144,BTCUSDT
3987120642,63446.33,0.0028,6402588261,6402588261,2026-06-12 03:42:25.838,True,True,63446.33,0.0028,177.649724,BTCUSDT
3987120643,63446.33,0.0012,6402588262,6402588262,2026-06-12 03:42:27.186,True,True,63446.33,0.0012,76.13559599999999,BTCUSDT
3987120644,63446.34,0.00157,6402588263,6402588263,2026-06-12 03:42:27.811,False,True,63446.34,0.00157,99.6107538,BTCUSDT
3987120645,63446.33,0.00032,6402588264,6402588264,2026-06-12 03:42:27.867,True,True,63446.33,0.00032,20.302825600000002,BTCUSDT
3987120646,63446.34,0.03152,6402588265,6402588265,2026-06-12 03:42:29.473,False,True,63446.34,0.03152,1999.8286368,BTCUSDT
3987120647,63446.33,0.081,6402588266,6402588266,2026-06-12 03:42:29.785,True,True,63446.33,0.081,5139.152730000001,BTCUSDT
3987120648,63446.34,9e-05,6402588267,6402588267,2026-06-12 03:42:30.675,False,True,63446.34,9e-05,5.7101706,BTCUSDT
3987120649,63446.33,0.0001,6402588268,6402588268,2026-06-12 03:42:31.018,True,True,63446.33,0.0001,6.344633000000001,BTCUSDT
3987120650,63446.34,0.00017,6402588269,6402588269,2026-06-12 03:42:31.361,False,True,63446.34,0.00017,10.7858778,BTCUSDT
3987120651,63446.33,0.002,6402588270,6402588270,2026-06-12 03:42:32.139,True,True,63446.33,0.002,126.89266,BTCUSDT
3987120652,63446.33,0.00016,6402588271,6402588271,2026-06-12 03:42:32.306,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120653,63446.34,0.00024,6402588272,6402588272,2026-06-12 03:42:32.609,False,True,63446.34,0.00024,15.2271216,BTCUSDT
3987120654,63446.33,0.00073,6402588273,6402588273,2026-06-12 03:42:32.871,True,True,63446.33,0.00073,46.3158209,BTCUSDT
3987120655,63446.33,0.01816,6402588274,6402588274,2026-06-12 03:42:33.590,True,True,63446.33,0.01816,1152.1853528,BTCUSDT
3987120656,63446.33,0.00016,6402588275,6402588275,2026-06-12 03:42:34.424,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120657,63446.33,0.001,6402588276,6402588276,2026-06-12 03:42:34.517,True,True,63446.33,0.001,63.44633,BTCUSDT
3987120658,63446.33,0.05385,6402588277,6402588293,2026-06-12 03:42:34.667,True,True,63446.33,0.05385,3416.5848705000003,BTCUSDT
3987120659,63446.34,9e-05,6402588294,6402588294,2026-06-12 03:42:34.686,False,True,63446.34,9e-05,5.7101706,BTCUSDT
3987120660,63446.34,0.0001,6402588295,6402588295,2026-06-12 03:42:34.981,False,True,63446.34,0.0001,6.344634,BTCUSDT
3987120661,63446.34,0.03152,6402588296,6402588296,2026-06-12 03:42:35.202,False,True,63446.34,0.03152,1999.8286368,BTCUSDT
3987120662,63446.33,0.00048,6402588297,6402588297,2026-06-12 03:42:35.247,True,True,63446.33,0.00048,30.4542384,BTCUSDT
3987120663,63446.33,0.00016,6402588298,6402588298,2026-06-12 03:42:35.512,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120664,63446.33,0.01493,6402588299,6402588299,2026-06-12 03:42:35.658,True,True,63446.33,0.01493,947.2537069000001,BTCUSDT
3987120665,63446.33,0.00032,6402588300,6402588300,2026-06-12 03:42:35.862,True,True,63446.33,0.00032,20.302825600000002,BTCUSDT
3987120666,63446.33,0.00016,6402588301,6402588301,2026-06-12 03:42:36.058,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120667,63446.34,0.0001,6402588302,6402588302,2026-06-12 03:42:36.081,False,True,63446.34,0.0001,6.344634,BTCUSDT
3987120668,63446.34,0.00052,6402588303,6402588303,2026-06-12 03:42:37.091,False,True,63446.34,0.00052,32.9920968,BTCUSDT
3987120669,63446.33,0.00152,6402588304,6402588304,2026-06-12 03:42:37.369,True,True,63446.33,0.00152,96.43842160000001,BTCUSDT
3987120670,63446.33,0.0008,6402588305,6402588305,2026-06-12 03:42:37.609,True,True,63446.33,0.0008,50.75706400000001,BTCUSDT
3987120671,63446.33,0.00075,6402588306,6402588306,2026-06-12 03:42:38.771,True,True,63446.33,0.00075,47.5847475,BTCUSDT
3987120672,63446.34,0.0016,6402588307,6402588307,2026-06-12 03:42:39.671,False,True,63446.34,0.0016,101.514144,BTCUSDT
3987120673,63446.33,0.0136,6402588308,6402588308,2026-06-12 03:42:39.933,True,True,63446.33,0.0136,862.870088,BTCUSDT
3987120674,63446.34,0.001,6402588309,6402588309,2026-06-12 03:42:40.038,False,True,63446.34,0.001,63.44634,BTCUSDT
3987120675,63446.33,0.82334,6402588310,6402588360,2026-06-12 03:42:40.822,True,True,63446.33,0.82334,52237.9013422,BTCUSDT
3987120676,63446.32,0.00097,6402588361,6402588370,2026-06-12 03:42:40.822,True,True,63446.32,0.00097,61.5429304,BTCUSDT
3987120677,63446.31,0.00016,6402588371,6402588371,2026-06-12 03:42:40.822,True,True,63446.31,0.00016,10.151409600000001,BTCUSDT
