price,qty,side
63462.67,1.55272,bid
63462.66,0.00034,bid
63462.65,0.00016,bid
63461.67,0.00436,bid
63461.66,0.02801,bid
63461.21,9e-05,bid
63460.93,0.00018,bid
63460.92,0.02221,bid
63460.8,0.00159,bid
63460.1,8e-05,bid
63460.08,0.004,bid
63460.0,0.00011,bid
63459.94,9e-05,bid
63459.55,0.00161,bid
63459.39,0.00018,bid
63459.38,0.02018,bid
63458.5,0.00806,bid
63458.49,0.00466,bid
63458.32,0.00098,bid
63458.31,0.0223,bid
63458.3,0.11574,bid
63458.29,0.12674,bid
63458.02,8e-05,bid
63458.01,0.00018,bid
63458.0,0.14906,bid
63457.97,9e-05,bid
63457.92,0.00315,bid
63457.73,0.02,bid
63457.49,0.02,bid
63457.13,0.04,bid
63457.12,0.00967,bid
63457.0,8e-05,bid
63456.9,0.004,bid
63456.82,0.04,bid
63456.61,0.0087,bid
63456.32,0.00708,bid
63456.18,0.03972,bid
63456.0,0.019,bid
63455.99,0.00018,bid
63455.98,0.7743,bid
63455.97,1.89049,bid
63455.95,0.51648,bid
63455.9,8e-05,bid
63455.85,0.0087,bid
63455.31,0.004,bid
63454.96,0.00788,bid
63454.95,0.02,bid
63454.75,8e-05,bid
63454.56,0.0001,bid
63454.32,0.00018,bid
63454.31,0.042,bid
63454.3,9e-05,bid
63454.01,0.02203,bid
63454.0,0.027,bid
63453.96,0.042,bid
63453.91,0.0087,bid
63453.9,8e-05,bid
63453.8,0.00168,bid
63453.78,0.01584,bid
63453.72,0.004,bid
63453.67,0.02,bid
63453.66,0.91941,bid
63453.64,0.05,bid
63453.6,9e-05,bid
63453.44,0.00988,bid
63453.05,0.00033,bid
63452.98,8e-05,bid
63452.68,0.94545,bid
63452.67,1.89049,bid
63452.63,9e-05,bid
63452.5,0.00125,bid
63452.29,0.00883,bid
63452.13,0.004,bid
63452.03,8e-05,bid
63452.0,0.027,bid
63451.66,0.00018,bid
63451.65,0.2182,bid
63451.41,0.02203,bid
63451.24,8e-05,bid
63451.17,0.0089,bid
63451.02,0.00012,bid
63450.98,0.0001,bid
63450.8,8e-05,bid
63450.63,0.16275,bid
63450.61,0.01577,bid
63450.54,0.004,bid
63450.52,0.00015,bid
63450.18,0.03,bid
63450.14,0.94267,bid
63450.13,1.89049,bid
63450.07,8e-05,bid
63450.0,0.027,bid
63449.88,0.12,bid
63449.83,8e-05,bid
63449.71,0.00018,bid
63449.7,0.38975,bid
63449.56,0.00989,bid
63449.35,0.00023,bid
63449.05,0.08255,bid
63449.04,0.16317,bid
63462.68,0.83084,ask
63462.69,0.00106,ask
63462.7,0.00016,ask
63463.2,8e-05,ask
63463.74,9e-05,ask
63464.53,0.00036,ask
63464.54,0.0248,ask
63464.65,8e-05,ask
63464.9,8e-05,ask
63465.01,9e-05,ask
63466.17,0.00079,ask
63466.3,8e-05,ask
63466.34,0.00018,ask
63466.35,0.06101,ask
63466.36,0.20318,ask
63466.64,0.00036,ask
63466.65,0.27967,ask
63466.66,0.20018,ask
63466.67,0.20018,ask
63466.74,0.00018,ask
63466.75,0.20018,ask
63467.04,0.00022,ask
63467.06,0.0571,ask
63467.2,8e-05,ask
63467.37,0.00028,ask
63467.5,0.00125,ask
63467.57,8e-05,ask
63467.97,0.01262,ask
63468.02,8e-05,ask
63468.05,0.00315,ask
63468.13,0.036,ask
63468.17,0.04,ask
63468.35,0.07573,ask
63468.76,0.00018,ask
63468.77,0.07808,ask
63468.8,0.048,ask
63468.98,9e-05,ask
63469.03,8e-05,ask
63469.1,0.00571,ask
63469.4,0.00016,ask
63469.51,0.00033,ask
63469.62,0.004,ask
63469.65,0.00018,ask
63469.66,0.02836,ask
63470.19,0.00048,ask
63470.2,0.00018,ask
63470.21,0.14138,ask
63470.23,8e-05,ask
63470.24,0.00047,ask
63470.33,0.00852,ask
63470.39,0.00192,ask
63470.49,8e-05,ask
63470.51,0.00157,ask
63470.59,0.00023,ask
63470.67,0.02,ask
63470.7,0.00018,ask
63470.71,0.2182,ask
63470.92,0.01576,ask
63471.2,0.00788,ask
63471.21,0.004,ask
63471.3,0.042,ask
63471.57,8e-05,ask
63471.65,0.02,ask
63471.89,0.00958,ask
63471.92,8e-05,ask
63471.93,0.02,ask
63471.94,0.022,ask
63471.96,0.00018,ask
63471.97,0.04,ask
63472.47,0.00788,ask
63472.48,0.00228,ask
63472.49,0.00596,ask
63472.5,0.00017,ask
63472.64,0.1626,ask
63472.65,9e-05,ask
63472.67,0.00985,ask
63472.7,9e-05,ask
63472.78,0.00161,ask
63472.8,0.004,ask
63473.16,0.00878,ask
63473.19,0.02404,ask
63473.2,0.95985,ask
63473.28,0.0001,ask
63473.41,0.0002,ask
63473.53,8e-05,ask
63474.0,0.00126,ask
63474.05,8e-05,ask
63474.09,0.01576,ask
63474.11,8e-05,ask
63474.13,0.08659,ask
63474.2,0.00018,ask
63474.21,1.89049,ask
63474.22,0.1631,ask
63474.39,0.004,ask
63474.53,0.004,ask
63475.31,8e-05,ask
63475.38,0.003,ask
63475.6,8e-05,ask
63475.95,0.00865,ask
63475.98,0.00418,ask
