price,qty,side
1671.36,11.3587,bid
1671.35,0.0152,bid
1671.34,0.0356,bid
1671.32,0.0407,bid
1671.31,0.5161,bid
1671.3,0.3128,bid
1671.29,0.0032,bid
1671.28,1.0606,bid
1671.27,17.5861,bid
1671.26,1.0521,bid
1671.25,0.033,bid
1671.23,0.006,bid
1671.22,7.8797,bid
1671.21,26.8883,bid
1671.2,24.8458,bid
1671.19,0.5725,bid
1671.18,1.4493,bid
1671.17,0.003,bid
1671.16,4.4899,bid
1671.15,0.0136,bid
1671.14,4.7795,bid
1671.12,3.2389,bid
1671.11,10.1898,bid
1671.1,0.5825,bid
1671.09,32.0228,bid
1671.08,2.925,bid
1671.07,0.003,bid
1671.06,0.1061,bid
1671.05,0.0983,bid
1671.04,0.0396,bid
1671.03,0.0101,bid
1671.02,27.5572,bid
1671.01,26.3741,bid
1671.0,5.833,bid
1670.99,0.6521,bid
1670.98,0.0075,bid
1670.97,24.4419,bid
1670.96,7.2003,bid
1670.94,10.4946,bid
1670.93,10.8373,bid
1670.92,0.1635,bid
1670.91,3.2073,bid
1670.9,0.7598,bid
1670.89,21.5833,bid
1670.88,16.0261,bid
1670.87,0.599,bid
1670.85,0.5971,bid
1670.84,9.2417,bid
1670.83,14.5498,bid
1670.82,10.1114,bid
1670.81,26.3757,bid
1670.8,0.0399,bid
1670.79,0.702,bid
1670.78,9.4909,bid
1670.77,11.0831,bid
1670.76,0.504,bid
1670.75,4.0716,bid
1670.74,0.0269,bid
1670.73,0.0089,bid
1670.72,27.5257,bid
1670.71,10.0544,bid
1670.7,7.3917,bid
1670.69,0.03,bid
1670.68,0.1637,bid
1670.67,1.4514,bid
1670.66,2.3991,bid
1670.64,10.7825,bid
1670.62,19.5698,bid
1670.61,40.8952,bid
1670.6,0.1605,bid
1670.59,11.0393,bid
1670.58,0.004,bid
1670.57,1.2062,bid
1670.56,0.0266,bid
1670.55,0.0348,bid
1670.53,12.1922,bid
1670.52,12.9207,bid
1670.5,28.5302,bid
1670.49,0.004,bid
1670.48,0.1693,bid
1670.47,10.7636,bid
1670.46,0.0062,bid
1670.45,0.1677,bid
1670.44,16.7211,bid
1670.43,0.1805,bid
1670.42,42.547,bid
1670.41,25.0866,bid
1670.4,0.0076,bid
1670.38,0.0131,bid
1670.37,4.314,bid
1670.36,0.702,bid
1670.34,2.2979,bid
1670.33,0.27,bid
1670.32,22.799,bid
1670.31,10.7631,bid
1670.3,10.0514,bid
1670.29,7.1866,bid
1670.28,5.9766,bid
1670.26,0.2141,bid
1670.25,0.1668,bid
1671.37,3.6902,ask
1671.38,0.0123,ask
1671.39,0.0092,ask
1671.4,0.0186,ask
1671.41,0.0062,ask
1671.42,0.0063,ask
1671.44,0.0062,ask
1671.46,0.0332,ask
1671.47,0.0032,ask
1671.48,0.0032,ask
1671.5,0.005,ask
1671.52,3.2152,ask
1671.53,6.1467,ask
1671.54,4.7795,ask
1671.56,0.0089,ask
1671.57,0.7508,ask
1671.58,0.3053,ask
1671.59,0.2421,ask
1671.6,0.0427,ask
1671.61,0.5825,ask
1671.62,0.003,ask
1671.63,0.0157,ask
1671.64,0.0091,ask
1671.65,0.1107,ask
1671.66,0.004,ask
1671.67,7.9264,ask
1671.68,26.3933,ask
1671.69,8.8439,ask
1671.7,10.1099,ask
1671.71,0.1,ask
1671.72,6.5562,ask
1671.73,8.9973,ask
1671.74,2.9687,ask
1671.75,1.2221,ask
1671.76,0.0066,ask
1671.77,0.0531,ask
1671.78,0.5991,ask
1671.79,0.4654,ask
1671.8,6.8874,ask
1671.81,7.5375,ask
1671.82,3.2682,ask
1671.83,11.7298,ask
1671.84,0.0137,ask
1671.85,6.5562,ask
1671.86,21.756,ask
1671.87,26.3681,ask
1671.88,10.7891,ask
1671.89,10.8178,ask
1671.9,0.01,ask
1671.91,2.6416,ask
1671.92,0.217,ask
1671.93,21.9762,ask
1671.94,7.1777,ask
1671.95,0.0362,ask
1671.96,8.877,ask
1671.97,18.9653,ask
1672.0,1.7499,ask
1672.01,0.0031,ask
1672.02,10.7931,ask
1672.03,19.1468,ask
1672.04,38.7486,ask
1672.05,4.0,ask
1672.06,4.0031,ask
1672.07,0.0031,ask
1672.08,15.7292,ask
1672.09,2.6386,ask
1672.1,4.0,ask
1672.11,5.9806,ask
1672.13,10.0486,ask
1672.14,2.925,ask
1672.15,1.4036,ask
1672.16,0.0397,ask
1672.17,17.2052,ask
1672.2,0.6071,ask
1672.21,0.0089,ask
1672.22,10.7591,ask
1672.23,34.7795,ask
1672.24,8.0858,ask
1672.25,13.1588,ask
1672.26,10.487,ask
1672.27,0.0031,ask
1672.28,0.0031,ask
1672.29,0.004,ask
1672.3,0.0833,ask
1672.31,0.1486,ask
1672.32,2.9286,ask
1672.34,10.7634,ask
1672.35,10.7591,ask
1672.36,25.6749,ask
1672.37,14.379,ask
1672.38,7.1848,ask
1672.39,10.1331,ask
1672.4,26.3717,ask
1672.42,0.0045,ask
1672.44,1.7717,ask
1672.45,0.1604,ask
1672.46,0.594,ask
1672.47,0.004,ask
1672.48,5.0536,ask
1672.49,1.4474,ask
