price,qty,side
66.85,384.703,bid
66.84,679.733,bid
66.83,314.967,bid
66.82,295.686,bid
66.81,771.408,bid
66.8,2272.861,bid
66.79,539.661,bid
66.78,238.406,bid
66.77,546.632,bid
66.76,1685.989,bid
66.75,538.039,bid
66.74,588.159,bid
66.73,315.631,bid
66.72,2080.99,bid
66.71,350.005,bid
66.7,227.688,bid
66.69,297.88,bid
66.68,82.357,bid
66.67,1116.518,bid
66.66,357.916,bid
66.65,1620.511,bid
66.64,141.739,bid
66.63,1206.935,bid
66.62,605.557,bid
66.61,359.05,bid
66.6,197.335,bid
66.59,82.673,bid
66.58,71.869,bid
66.57,43.622,bid
66.56,1548.227,bid
66.55,1021.969,bid
66.54,0.86,bid
66.53,3.381,bid
66.52,81.56,bid
66.51,1751.79,bid
66.5,395.726,bid
66.49,15.51,bid
66.48,91.794,bid
66.47,1541.028,bid
66.46,213.569,bid
66.45,4.007,bid
66.44,6.827,bid
66.43,1227.535,bid
66.42,1.328,bid
66.41,112.384,bid
66.4,66.715,bid
66.39,1.221,bid
66.38,9.376,bid
66.37,87.233,bid
66.36,242.493,bid
66.35,3.442,bid
66.34,2.911,bid
66.33,6.684,bid
66.32,364.573,bid
66.31,3.118,bid
66.3,187.753,bid
66.29,8.955,bid
66.28,73.452,bid
66.27,19.523,bid
66.26,9.558,bid
66.25,96.404,bid
66.24,1.883,bid
66.23,3.064,bid
66.22,1.324,bid
66.21,459.775,bid
66.2,148.035,bid
66.19,363.616,bid
66.18,358.533,bid
66.17,4.887,bid
66.16,1.255,bid
66.15,63.312,bid
66.14,0.819,bid
66.13,165.221,bid
66.12,28.99,bid
66.11,36.678,bid
66.1,111.078,bid
66.09,3.629,bid
66.08,6.44,bid
66.07,2.093,bid
66.06,71.744,bid
66.05,17.866,bid
66.04,102.267,bid
66.03,219.114,bid
66.02,24.825,bid
66.01,6.567,bid
66.0,1807.446,bid
65.99,11.015,bid
65.98,0.493,bid
65.97,31.435,bid
65.96,6.709,bid
65.95,11.912,bid
65.94,151.643,bid
65.93,53.678,bid
65.92,77.021,bid
65.91,2.949,bid
65.9,404.019,bid
65.89,1.522,bid
65.88,358.582,bid
65.87,31.581,bid
65.86,511.289,bid
66.86,397.702,ask
66.87,233.748,ask
66.88,378.117,ask
66.89,343.582,ask
66.9,1089.603,ask
66.91,2327.1,ask
66.92,667.604,ask
66.93,496.459,ask
66.94,709.771,ask
66.95,229.494,ask
66.96,755.342,ask
66.97,1797.32,ask
66.98,510.22,ask
66.99,794.798,ask
67.0,194.363,ask
67.01,804.867,ask
67.02,1360.862,ask
67.03,136.066,ask
67.04,82.518,ask
67.05,170.905,ask
67.06,723.235,ask
67.07,68.322,ask
67.08,347.764,ask
67.09,1536.334,ask
67.1,62.9,ask
67.11,315.639,ask
67.12,117.76,ask
67.13,89.106,ask
67.14,280.221,ask
67.15,2480.329,ask
67.16,49.295,ask
67.17,2.456,ask
67.18,399.792,ask
67.19,46.237,ask
67.2,3.517,ask
67.21,1492.708,ask
67.22,166.21,ask
67.23,359.943,ask
67.24,48.569,ask
67.25,6.002,ask
67.26,1501.039,ask
67.27,18.201,ask
67.28,17.717,ask
67.29,1.851,ask
67.3,373.604,ask
67.31,7.934,ask
67.32,14.118,ask
67.33,1.407,ask
67.34,6.005,ask
67.35,27.484,ask
67.36,1071.155,ask
67.37,10.283,ask
67.38,2.974,ask
67.39,107.308,ask
67.4,235.594,ask
67.41,0.99,ask
67.42,9.215,ask
67.43,2.588,ask
67.44,258.715,ask
67.45,15.977,ask
67.46,1.375,ask
67.47,3.837,ask
67.48,428.594,ask
67.49,57.186,ask
67.5,1536.961,ask
67.51,49.873,ask
67.52,22.132,ask
67.53,8.104,ask
67.54,86.55,ask
67.55,3.941,ask
67.56,1.438,ask
67.57,13.614,ask
67.58,2.242,ask
67.59,23.841,ask
67.6,40.413,ask
67.61,3.074,ask
67.62,2.182,ask
67.63,355.923,ask
67.64,14.668,ask
67.65,11.997,ask
67.66,10.435,ask
67.67,52.704,ask
67.68,7.942,ask
67.69,5.165,ask
67.7,46.223,ask
67.71,9.796,ask
67.72,3.202,ask
67.73,12.129,ask
67.74,3.724,ask
67.75,117.026,ask
67.76,6.447,ask
67.77,5.517,ask
67.78,4.873,ask
67.79,4.712,ask
67.8,914.53,ask
67.81,19.852,ask
67.82,42.612,ask
67.83,5.239,ask
67.84,472.594,ask
67.85,9.359,ask
