exchange,base,target,volume_24h,bid_ask_spread,trust_score,is_anomaly,is_stale
Binance,BTC,USDT,17638.54234,0.010013,,False,False
Gate,BTC,USDT,14997.5935162266,0.010158,,False,False
Coinbase Exchange,BTC,USD,8988.11094501,0.010016,,False,False
OKX,BTC,USDT,8085.56390737,0.010158,,False,False
Bybit,BTC,USDT,14015.536152,0.010158,,False,False
Kraken,XBT,USD,1778.41825079,0.010158,,False,False
Binance,BTC,USDC,7018.1145,0.010013,,False,False
BingX,BTC,USDT,3108.753813,0.01011,,False,False
Bitget,BTC,USDT,5274.590936,0.010016,,False,False
MEXC,BTC,USDT,11569.48459257,0.010016,,False,False
DigiFinex,BTC,USDT,8047.0240415,0.010016,,False,False
Bitunix,BTC,USDT,3151.47663,0.010016,,False,False
KuCoin,BTC,USDT,0.0,0.010158,,False,False
Bullish,BTC,USDC,9259.68592503,0.010158,,False,False
AlphaX,BTC,USDT,428.8197,0.01011,,False,False
Bitstamp by Robinhood,BTC,USD,1476.69845967,0.010016,,False,False
LBank,BTC,USDT,3067.3991,0.010032,,False,False
Kraken,XBT,EUR,502.70505313,0.010183,,False,False
Crypto.com Exchange,BTC,USD,7498.9721,0.010016,,False,False
XT.COM,BTC,USDT,8438.93853,0.010016,,False,False
OKX,BTC,USD,529.78730167,0.010158,,False,False
WhiteBIT,BTC,USDT,4594.20932,0.010016,,False,False
Binance,BTC,USD1,2534.21006,0.010597,,False,False
Bitvavo,BTC,EUR,651.88750401,0.011825,,False,False
LBank,BTC,USDC,2292.779,0.010016,,False,False
Hibt,BTC,USDT,3707.387695557358,0.010158,,False,False
Biconomy.com,BTC,USDT,8835.2521,0.010016,,False,False
Bullish,BTC,USD,1883.80467262,0.010473,,False,False
Bitrue,BTC,USDT,2835.804075,0.010016,,False,False
HashKey Exchange,BTC,USD,578.8255,0.010016,,False,False
Bit2Me,BTC,USDC,772.0489776999999,0.010016,,False,False
Coinbase Exchange,BTC,EUR,430.27756909,0.014984,,False,False
Crypto.com Exchange,BTC,USDT,4078.3945,0.010016,,False,False
Bitget,BTC,USDC,385.77284,0.010016,,False,False
Phemex,BTC,USDT,4283.550685,0.017627,,False,False
Zoomex,BTC,USDT,4204.671256,0.010158,,False,False
Bit2Me,BTC,EUR,493.1421538022,0.010183,,False,False
Bybit,BTC,USDC,461.920552,0.010158,,False,False
HTX,BTC,USDT,1568.9387695250086,0.014616,,False,False
P2B,BTC,USDT,2563.17372,0.014853,,False,False
BingX,BTC,USDC,166.276091,0.010032,,False,False
BloFin,BTC,USDT,6186.68373,0.013892,,False,False
BYDFi,BTC,USDT,1492.99504,0.01011,,False,False
KuCoin,BTC,USDC,0.0,0.010158,,False,False
P2B,BTC,USD,2521.01928,0.010016,,False,False
MEXC,BTC,USDC,363.812364,0.010835,,False,False
Bitstamp by Robinhood,BTC,EUR,149.63024482,0.010018,,False,False
Deepcoin,BTC,USDT,5323.71041397,0.010158,,False,False
Gemini,BTC,USD,203.1177506,0.010016,,False,False
Tapbit,BTC,USDT,6537.2989,0.012132,,False,False
BitKan,BTC,USDT,236.13251,0.010016,,False,False
DigiFinex,BTC,USDC,385.02402,0.012918,,False,False
Bybit EU,BTC,EUR,1070.58377,0.015112,,False,False
Niza.io,BTC,USD,895.99507452,0.010158,,False,False
Kraken,XBT,USDT,172.27636075,0.016699,,False,False
Bitbank,BTC,JPY,156.4571,0.01001,,False,False
Biconomy.com,BTC,USDC,1840.5975,0.010016,,False,False
BTSE,BTC,USDT,1018.18675381806,0.01063,,False,False
Bullish,BTC,USDT,858.31392439,0.013466,,False,False
Bitrue,BTC,USDC,578.93499,0.010237,,False,False
Coinbase Exchange,BTC,USDT,215.53381743,0.016609,,False,False
OKX,BTC,USDC,75.16306839,0.010158,,False,False
Binance,BTC,JPY,1036.322955,0.012327,,False,False
LeveX,BTC,USDT,153.49171,0.011103,,False,False
XT.COM,BTC,USDC,350.37528,0.010016,,False,False
Bybit,BTC,EUR,308.556947,0.02008,,False,False
Bitfinex,BTC,USD,1179.48945027,0.031516,,False,False
Binance,BTC,FDUSD,537.36325,0.010013,,False,False
Coinbase Exchange,BTC,GBP,114.97746472,0.010627,,False,False
Bullish,BTC,EUR,594.94897128,0.010183,,False,False
OKX,BTC,EUR,50.62526172,0.010183,,False,False
Poloniex,BTC,USDT,4747.412867,0.012606,,False,False
OSL HK,BTC,USD,222.31738340000447,0.055656,,False,False
Gate,BTC,USDC,28.534816,0.019908,,False,False
