exchange,base,target,volume_24h,bid_ask_spread,trust_score,is_anomaly,is_stale
Gate,DOGE,USDT,307709308.0483249,0.011583,,False,False
OKX,DOGE,USDT,320344006.460325,0.011578,,False,False
Binance,DOGE,USDT,570617731.0,0.019968,,False,False
LBank,DOGE,USDT,164751464.0,0.011577,,False,False
Kraken,XDG,USD,41469007.4255758,0.010116,,False,False
MEXC,DOGE,USDT,176415649.78,0.011574,,False,False
Coinbase Exchange,DOGE,USD,119408801.6,0.023186,,False,False
Toobit,DOGE,USDT,207116324.0,0.01157,,False,False
Bitstamp by Robinhood,DOGE,USD,62648910.37,0.01159,,False,False
Pionex,DOGE,USDT,798649314.02,0.011575,,False,False
WEEX,DOGE,USDT,160792471.51421,0.011573,,False,False
Bitget,DOGE,USDC,113846679.016,0.011583,,False,False
Bitget,DOGE,USDT,101311676.3423,0.011579,,False,False
Ourbit,DOGE,USDT,138916518.33,0.011574,,False,False
KuCoin,DOGE,USDT,0.0,0.011577,,False,False
Bitunix,DOGE,USDT,17732609.0,0.011577,,False,False
BitMart,DOGE,USDT,75617022.0,0.011157,,False,False
Bybit,DOGE,USDT,101930741.3,0.02314,,False,False
CoinUp.io,DOGE,USDT,5337797552.7,0.023151,,False,False
Binance,DOGE,USDC,75543493.0,0.019972,,False,False
XT.COM,DOGE,USDT,140619330.0,0.011567,,False,False
WhiteBIT,DOGE,USDT,104400437.5,0.010116,,False,False
BitKan,DOGE,USDT,25530288.0,0.01157,,False,False
DigiFinex,DOGE,USDT,58473833.84,0.023148,,False,False
AlphaX,DOGE,USDT,62222179.0,0.057837,,False,False
Azbit,DOGE,USDT,64141822.194342,0.011571,,False,False
Biconomy.com,DOGE,USDT,65618150.75,0.011577,,False,False
CoinW,DOGE,USDT,110742510.23,0.032385,,False,False
BTSE,DOGE,USDT,31067775.71620019,0.011575,,False,False
Bitvavo,DOGE,EUR,13950390.42542868,0.018045,,False,False
Niza.io,DOGE,USDT,88225117.07,0.011578,,False,False
Zoomex,DOGE,USDT,30450643.0,0.011577,,False,False
Bit2Me,DOGE,USDC,8309576.66,0.011582,,False,False
Toobit,DOGE,USDC,19325851.0,0.011583,,False,False
Bitbank,DOGE,JPY,18707146.9345,0.01722,,False,False
BingX,DOGE,USDT,21993792.0,0.057864,,False,False
Bybit,DOGE,USDC,9558962.2,0.011586,,False,False
P2B,DOGE,USDC,15144256.0,0.011585,,False,False
LeveX,DOGE,USDT,4512339.0,0.01157,,False,False
Binance,DOGE,FDUSD,19497464.0,0.019941,,False,False
Biconomy.com,DOGE,USDC,37754333.1,0.011583,,False,False
Coinstore,DOGE,USDT,71827535.13,0.030114,,False,False
HTX,DOGE,USDT,32389359.685971953,0.031252,,False,False
Hibt,DOGE,USDT,98452785.02711105,0.057837,,False,False
OKX,DOGE,USD,1850060.344182,0.011587,,False,False
Deepcoin,DOGE,USDT,12053461.07163557,0.011571,,False,False
Bit2Me,DOGE,EUR,7461375.555136922,0.016094,,False,False
BloFin,DOGE,USDT,197533601.0,0.081009,,False,False
Kraken,XDG,EUR,7613648.52564992,0.032973,,False,False
Gemini,DOGE,USD,1741383.878876,0.011589,,False,False
