exchange,base,target,volume_24h,bid_ask_spread,trust_score,is_anomaly,is_stale
Binance,ETH,USDT,270962.6701,0.010495,,False,False
Gate,ETH,USDT,236736.7709889,0.010598,,False,False
OKX,ETH,USDT,153747.848146,0.010598,,False,False
Coinbase Exchange,ETH,USD,144978.97481227,0.010599,,False,False
Kraken,ETH,USD,26656.5361713,0.010599,,False,False
Bybit,ETH,USDT,181458.82949,0.010598,,False,False
Binance,ETH,USDC,123287.0011,0.010496,,False,False
Bitget,ETH,USDT,114356.2864,0.010598,,False,False
KuCoin,ETH,USDT,0.0,0.010598,,False,False
MEXC,ETH,USDT,196449.74426,0.010598,,False,False
BingX,ETH,USDT,46422.2967,0.011197,,False,False
Ourbit,ETH,USDT,118292.74162,0.010598,,False,False
DigiFinex,ETH,USDT,133695.3185,0.010598,,False,False
AlphaX,ETH,USDT,16262.8995,0.011794,,False,False
LBank,ETH,USDT,38600.0012,0.010598,,False,False
WEEX,ETH,USDT,178112.234073,0.010599,,False,False
Bitunix,ETH,USDT,39807.8291,0.010598,,False,False
Pionex,ETH,USDT,210497.60712,0.010599,,False,False
CoinW,ETH,USDT,103040.4022,0.011795,,False,False
BitMart,ETH,USDT,73855.28714,0.011197,,False,False
WhiteBIT,ETH,USDT,175266.28521,0.010598,,False,False
Crypto.com Exchange,ETH,USD,163968.6596,0.010599,,False,False
XT.COM,ETH,USDT,129624.2073,0.010598,,False,False
Bullish,ETH,USDC,61287.36542461,0.010599,,False,False
Bitvavo,ETH,EUR,12058.99800701,0.010693,,False,False
Bitstamp by Robinhood,ETH,USD,10127.596076,0.010599,,False,False
LBank,ETH,USDC,34473.981,0.010599,,False,False
Hibt,ETH,USDT,92256.41491619998,0.010599,,False,False
Kraken,ETH,EUR,7853.27443612,0.019012,,False,False
Phemex,ETH,USDT,52914.98181,0.011197,,False,False
HashKey Exchange,ETH,USD,15914.9852,0.010599,,False,False
Biconomy.com,ETH,USDT,141869.499,0.010598,,False,False
Bitget,ETH,USDC,10320.2984,0.010599,,False,False
Coinbase Exchange,ETH,EUR,5406.67847774,0.012473,,False,False
P2B,ETH,USDT,43609.7704,0.010598,,False,False
Bit2Me,ETH,USDC,13562.174274,0.010599,,False,False
OKX,ETH,USD,4975.849423,0.015567,,False,False
KCEX,ETH,USDT,116126.9348,0.010598,,False,False
Dexalot,ETH,USDC,3856.7283138576713,0.011975,,False,False
Hotcoin,ETH,USDT,112020.8201,0.011795,,False,False
KuCoin,ETH,USDC,0.0,0.010599,,False,False
Zoomex,ETH,USDT,54439.08228,0.010598,,False,False
Crypto.com Exchange,ETH,USDT,65151.681,0.010598,,False,False
BloFin,ETH,USDT,63798.7634,0.015385,,False,False
BingX,ETH,USDC,2869.9809,0.010599,,False,False
DigiFinex,ETH,USDC,7696.312,0.010599,,False,False
WEEX,ETH,USDC,9982.578229,0.010599,,False,False
Bit2Me,ETH,EUR,7696.2089473976,0.015246,,False,False
Deepcoin,ETH,USDT,42941.37298433,0.010598,,False,False
Bullish,ETH,USD,8782.15259651,0.011198,,False,False
LeveX,ETH,USDT,7772.6555,0.012991,,False,False
Gemini,ETH,USD,2304.293672,0.010599,,False,False
Biconomy.com,ETH,USDC,37854.7711,0.010599,,False,False
OKX,BETH,ETH,976.021114,0.010001,,False,False
Bybit EU,ETH,EUR,16318.5026,0.015545,,False,False
Azbit,ETH,USDC,4454.3689,0.010599,,False,False
BTSE,ETH,USDT,9166.301273380275,0.010598,,False,False
Bitstamp by Robinhood,ETH,EUR,3288.04771,0.018316,,False,False
OKX,ETH,TRY,1565.52766137,0.011297,,False,False
Kraken,ETH,USDT,2224.682251,0.018975,,False,False
Coinstore,ETH,USDT,6862.545,0.011375,,False,False
Bitget,ETH,EUR,3934.761,0.016236,,False,False
HTX,ETH,USDT,19332.717769443865,0.028687,,False,False
LBank,ETH,USD1,4325.1417,0.011961,,False,False
Bybit,ETH,USDC,6334.21372,0.020357,,False,False
Niza.io,ETH,USD,13328.800038,0.017185,,False,False
Poloniex,ETH,USDT,71332.151986,0.010598,,False,False
P2B,ETH,USDC,29423.1214,0.021561,,False,False
Bullish,ETH,USDT,7541.09679491,0.012393,,False,False
Lighter (Spot),ETH,USDC,366.4873,0.01479,,False,False
BYDFi,ETH,USDT,6497.6522,0.011793,,False,False
Hotcoin,ETH,USDC,16167.1781,0.012995,,False,False
CoinEx,ETH,USDT,8062.24221646,0.010598,,False,False
Bitrue,ETH,USDT,3060.85335,0.018974,,False,False
Bybit,ETH,BTC,2832.76889,0.011389,,False,False
Bitfinex,ETH,USD,45686.07570946,0.059809,,False,False
Kraken,ETH,USDC,1523.0652823,0.023351,,False,False
MEXC,ETH,USDC,910.7132,0.019163,,False,False
HashKey Exchange,ETH,HKD,814.8619,0.010611,,False,False
Coinbase Exchange,ETH,GBP,2239.38184619,0.015625,,False,False
Tapbit,ETH,USDT,239728.2857,0.07083,,False,False
Bitcointry,ETH,USDT,2387.86,0.03349,,False,False
Binance,ETH,EUR,6552.2511,0.010576,,False,False
Bybit,ETH,EUR,5635.14291,0.045045,,False,False
Niza.io,ETH,EUR,3928.05854273,0.011773,,False,False
Gate,ETH,USDC,680.265,0.035954,,False,False
CoinW,ETH,USDC,12921.7601,0.041321,,False,False
Coinbase Exchange,ETH,BTC,2092.47862445,0.015187,,False,False
Kraken,ETH,GBP,807.77564835,0.011253,,False,False
XT.COM,ETH,USDC,4537.0768,0.010599,,False,False
SoDEX,ETH,USDC,62.061,0.015992,,False,False
KCEX,ETH,USDC,5264.9412,0.010599,,False,False
BloFin,ETH,USDC,1830.6152,0.011797,,False,False
Binance,ETH,BTC,6606.7087,0.036805,,False,False
Backpack Exchange ,ETH,USDC,668.8609,0.010599,,False,False
bitcastle,ETH,USDT,37730.9937,0.015981,,False,False
LeveX,ETH,USDC,902.1023,0.012994,,False,False
Crypto.com Exchange,ETH,BTC,735.8015,0.013797,,False,False
Tapbit,ETH,USDC,35169.8395,0.040082,,False,False
itBit,ETH,USD,815.5800024,0.012996,,False,False
