exchange,base,target,volume_24h,bid_ask_spread,trust_score,is_anomaly,is_stale
Binance,SOL,USDT,2630221.465,0.012162,,False,False
Gate,SOL,USDT,1959757.6504139344,0.014963,,False,False
Coinbase Exchange,SOL,USD,957475.82389056,0.014968,,False,False
OKX,SOL,USDT,865807.196869,0.014939,,False,False
Kraken,SOL,USD,314081.52254749,0.014981,,False,False
Bitget,SOL,USDT,1152549.8862,0.014959,,False,False
Binance,SOL,USDC,717072.409,0.012194,,False,False
MEXC,SOL,USDT,1094897.828,0.014941,,False,False
Bybit,SOL,USDT,1255743.6056,0.014948,,False,False
LBank,SOL,USDT,500327.3275,0.014957,,False,False
Bitstamp by Robinhood,SOL,USD,288323.55294,0.011497,,False,False
Toobit,SOL,USDT,969043.959,0.01493,,False,False
Crypto.com Exchange,SOL,USD,316398.606,0.014972,,False,False
KuCoin,SOL,USDT,0.0,0.014954,,False,False
Bitunix,SOL,USDT,99402.447,0.014952,,False,False
BitMart,SOL,USDT,1174761.62,0.018974,,False,False
Ourbit,SOL,USDT,391085.47,0.014939,,False,False
Bitvavo,SOL,EUR,227839.28914085,0.019035,,False,False
Bullish,SOL,USDC,298087.5742293,0.01015,,False,False
LBank,SOL,USDC,262988.04,0.014972,,False,False
DigiFinex,SOL,USDT,122859.94,0.014952,,False,False
XT.COM,SOL,USDT,657651.316,0.014934,,False,False
Bitget,SOL,USDC,169029.98,0.014975,,False,False
Deepcoin,SOL,USDT,2107110.45666445,0.014948,,False,False
BitKan,SOL,USDT,98455.956,0.01493,,False,False
Coinbase Exchange,SOL,EUR,39303.536,0.017319,,False,False
Zoomex,SOL,USDT,376928.7709,0.014941,,False,False
AlphaX,SOL,USDT,80706.656,0.044836,,False,False
P2B,SOL,USDT,381704.07,0.014937,,False,False
Bit2Me,SOL,EUR,89914.1121488806,0.01731,,False,False
Hibt,SOL,USDT,305687.74732875,0.014937,,False,False
Kraken,SOL,EUR,91746.41631947,0.034668,,False,False
Toobit,SOL,USDC,176093.443,0.014945,,False,False
OKX,SOL,USD,20880.164914,0.014961,,False,False
Pionex,SOL,USDT,471003.48,0.029873,,False,False
WhiteBIT,SOL,USDT,963991.4241,0.033472,,False,False
Binance,SOL,FDUSD,82069.022,0.012143,,False,False
Binance,SOL,USD1,149285.254,0.024322,,False,False
Kraken,SOL,USDT,27597.20081191,0.014959,,False,False
WEEX,SOL,USDT,994707.553383,0.074683,,False,False
Phemex,SOL,USDT,323497.552,0.029886,,False,False
Bit2Me,SOL,USDC,78948.15995,0.014952,,False,False
Niza.io,SOL,USD,158673.57019769,0.014932,,False,False
Gemini,SOL,USD,19086.865139,0.011497,,False,False
Bitbank,SOL,JPY,18335.3046,0.010932,,False,False
OSL HK,SOL,USD,10464.009000000078,0.014954,,False,False
Bitstamp by Robinhood,SOL,EUR,28939.3065,0.01693,,False,False
Bybit EU,SOL,EUR,124993.859,0.017322,,False,False
LeveX,SOL,USDT,29071.9665,0.01493,,False,False
Coinbase Exchange,SOL,USDT,19933.35,0.014948,,False,False
Byte Exchange,SOL,USDT,72601.61,0.018289,,False,False
Crypto.com Exchange,SOL,USDT,207558.031,0.014957,,False,False
BloFin,SOL,USDT,1133814.396,0.07475,,False,False
BingX,SOL,USDT,147173.584,0.104649,,False,False
Azbit,SOL,USDT,40893.7639,0.014934,,False,False
P2B,SOL,USDC,152915.955,0.014954,,False,False
KuCoin,SOL,USDC,0.0,0.01497,,False,False
Kraken,SOL,USDC,19791.61974023,0.014975,,False,False
OKX,SOL,BTC,18319.4626,0.018972,,False,False
SoDEX,SOL,USDC,1746.638,0.014952,,False,False
Binance,SOL,TRY,63023.613,0.012648,,False,False
Bullish,SOL,EUR,34730.764902,0.011733,,False,False
CoinW,SOL,USDT,1365836.656,0.174797,,False,False
BingX,SOL,USDC,21800.96,0.02994,,False,False
Biconomy.com,SOL,USDC,139853.655,0.01944,,False,False
BloFin,SOL,USDC,182686.272,0.029904,,False,False
Binance,SOL,BTC,58093.008,0.019044,,False,False
Gate,SOL,USDC,6339.387,0.029954,,False,False
Azbit,SOL,USDC,40111.763,0.01495,,False,False
BYDFi,SOL,USDT,18132.94,0.014934,,False,False
Binance US,SOL,USD,10033.070326845336,0.029927,,False,False
KCEX,SOL,USDT,141701.638,0.044937,,False,False
MEXC,SOL,USDC,4576.84,0.029913,,False,False
Backpack Exchange ,SOL,USDC,16655.44,0.014954,,False,False
Binance,BNSOL,SOL,41271.998,0.018977,,False,False
BTSE,SOL,USDT,141261.81299963297,0.089646,,False,False
Bullish,SOL,USDT,33552.6735101,0.01374,,False,False
CoinEx,SOL,USDT,55789.03386875,0.014943,,False,False
OSL HK,SOL,HKD,2854.027999999991,0.013816,,False,False
Bitrue,SOL,XRP,36327.23685,0.022202,,False,False
Biconomy.com,SOL,USDT,279674.374,0.074761,,False,False
P2B,SOL,BTC,57428.562,0.019489,,False,False
Coinstore,SOL,USDT,28699.396,0.02843,,False,False
Bybit,SOL,EUR,51106.9269,0.08658,,False,False
BitMart,SOL,USDC,18853.86,0.019914,,False,False
Niza.io,SOL,EUR,46290.81472994,0.017265,,False,False
LeveX,SOL,USDC,6948.378,0.014952,,False,False
Bullish,SOL,ETH,28812.0982391,0.01025,,False,False
Bitfinex,SOL,USDT,37269.4481629,0.0299,,False,False
Bitrue,SOL,USDT,54909.93705,0.059728,,False,False
Hotcoin,SOL,USDT,378035.686,0.074761,,False,False
XT.COM,SOL,USDC,71799.689,0.014948,,False,False
Poloniex,SOL,USDT,587514.263225,0.031408,,False,False
itBit,SOL,USD,9901.6669545,0.014966,,False,False
Bybit,SOL,USDC,29160.3607,0.04489,,False,False
Luno,SOL,MYR,2362.5004,0.013678,,False,False
Bitazza,SOL,USDT,3924.237,0.04487,,False,False
Aivora Exchange,SOL,USDT,442834.064,0.014954,,False,False
LBank,SOL,USD1,9939.224,0.029869,,False,False
Coinbase Exchange,SOL,GBP,15365.131,0.040153,,False,False
