second_of_minute,trades,buyshare,buy_usd,sell_usd
0,99,0.6162,911.9154,657.7848
1,145,0.5724,1453.3431,1373.0252
2,178,0.5449,1278.2114,1798.3065
3,114,0.6228,1243.2202,826.0834
4,132,0.5227,1108.4468,1621.6934
5,13494,0.0117,2031.0721,133099.1983
6,534,0.1723,1822.9211,4974.271
7,149,0.5436,1582.1985,1343.1983
8,176,0.5398,2136.3114,1478.9698
9,151,0.6755,2030.5593,1074.7991
10,161,0.5963,1479.7925,1069.4434
11,175,0.5771,2339.5003,1883.5458
12,144,0.5903,1641.3319,1574.3231
13,166,0.506,1519.0818,1928.7335
14,155,0.5355,1391.7047,1768.0721
15,157,0.5096,1272.6407,1927.0274
16,163,0.6074,1862.6632,1406.2184
17,158,0.6076,1808.3532,1472.6639
18,154,0.5779,1631.3539,1479.307
19,145,0.531,1540.4915,1926.2445
20,143,0.7133,1726.9793,913.5554
21,142,0.6338,1557.8298,839.5311
22,168,0.5893,1723.007,1444.0869
23,134,0.5597,1586.8727,1481.8374
24,144,0.5208,1309.1482,1450.1766
25,137,0.6715,1868.2141,861.645
26,153,0.6275,2367.1465,1455.4385
27,157,0.5669,1645.087,1489.0964
28,142,0.5563,1724.6001,1004.3446
29,138,0.5072,1569.9506,1959.0543
30,160,0.5688,1716.1708,1359.0014
31,139,0.6187,1493.2453,1107.0732
32,122,0.6311,1491.5345,852.4417
33,138,0.6377,2007.8863,1136.2409
34,150,0.5733,1847.5163,1189.5711
35,14044,0.9938,129671.9886,2340.1613
36,496,0.869,4454.2622,1109.4749
37,128,0.6016,1359.9992,1006.3586
38,145,0.5517,1403.1298,1241.7865
39,158,0.5127,1489.5981,1983.0753
40,124,0.5403,1109.9972,1146.107
41,133,0.5338,1354.8515,1252.7339
42,148,0.6149,1719.5972,1083.1633
43,181,0.4696,1903.2327,2056.3969
44,143,0.4685,1262.7626,1956.1463
45,161,0.6957,2190.1948,1174.0856
46,154,0.6039,1744.0532,1530.0978
47,157,0.5414,1724.4025,1679.283
48,157,0.6688,2131.6352,1407.3527
49,151,0.5894,1447.6054,1272.4164
50,186,0.5591,1994.8419,1611.4267
51,150,0.5533,1718.6374,1800.111
52,141,0.5745,1492.2473,1002.8258
53,162,0.642,1576.5847,1471.5099
54,163,0.5767,1722.1061,1358.2247
55,139,0.5612,1407.4179,1437.9336
56,132,0.6061,1301.8638,1047.6599
57,149,0.604,1508.7774,1611.5899
58,140,0.65,1675.7185,1351.3656
59,131,0.5191,1563.0416,1505.6175
