second_of_minute,trades,share
0,99,0.002684
1,145,0.003931
2,178,0.004825
3,114,0.00309
4,132,0.003578
5,13494,0.36579
6,534,0.014475
7,149,0.004039
8,176,0.004771
9,151,0.004093
10,161,0.004364
11,175,0.004744
12,144,0.003903
13,166,0.0045
14,155,0.004202
15,157,0.004256
16,163,0.004419
17,158,0.004283
18,154,0.004175
19,145,0.003931
20,143,0.003876
21,142,0.003849
22,168,0.004554
23,134,0.003632
24,144,0.003903
25,137,0.003714
26,153,0.004147
27,157,0.004256
28,142,0.003849
29,138,0.003741
30,160,0.004337
31,139,0.003768
32,122,0.003307
33,138,0.003741
34,150,0.004066
35,14044,0.380699
36,496,0.013445
37,128,0.00347
38,145,0.003931
39,158,0.004283
40,124,0.003361
41,133,0.003605
42,148,0.004012
43,181,0.004906
44,143,0.003876
45,161,0.004364
46,154,0.004175
47,157,0.004256
48,157,0.004256
49,151,0.004093
50,186,0.005042
51,150,0.004066
52,141,0.003822
53,162,0.004391
54,163,0.004419
55,139,0.003768
56,132,0.003578
57,149,0.004039
58,140,0.003795
59,131,0.003551
