t,open,high,low,close,volume_usd,trades
2026-05-01 00:00:00+00:00,0.0001055,0.0001068,0.0001046,0.0001049,49334.75690863,7853
2026-05-02 00:00:00+00:00,0.0001052,0.0001068,0.0001045,0.0001055,56256.75348613,7923
2026-05-03 00:00:00+00:00,0.0001057,0.0001067,0.0001044,0.0001055,45111.422523,7775
2026-05-04 00:00:00+00:00,0.0001054,0.0001074,0.0001047,0.0001059,47214.55657249,7887
2026-05-05 00:00:00+00:00,0.0001062,0.000107,0.0001057,0.0001061,47809.27419454,6790
2026-05-06 00:00:00+00:00,0.0001061,0.000107,0.0001057,0.0001059,68618.34953378,6614
2026-05-07 00:00:00+00:00,0.000106,0.0001065,0.0001044,0.0001045,64213.25971363,6681
2026-05-08 00:00:00+00:00,0.000105,0.000106,0.0001044,0.0001048,58380.9480106,7224
2026-05-09 00:00:00+00:00,0.000105,0.0001058,0.000104,0.0001045,54503.10362994,7435
2026-05-10 00:00:00+00:00,0.0001047,0.0001057,0.000104,0.0001046,62223.29556121,6902
2026-05-11 00:00:00+00:00,0.0001049,0.0001058,0.0001042,0.0001053,51946.77252444,7182
2026-05-12 00:00:00+00:00,0.0001055,0.0001063,0.0001006,0.0001019,58546.14404249,6689
2026-05-13 00:00:00+00:00,0.0001022,0.0001033,0.000101,0.0001024,51094.98244919,7066
2026-05-14 00:00:00+00:00,0.0001026,0.0001038,0.0001017,0.0001026,61685.92778582,6746
2026-05-15 00:00:00+00:00,0.0001027,0.0001047,0.0001022,0.0001028,65511.3848746,7112
2026-05-16 00:00:00+00:00,0.0001029,0.0001038,0.0001012,0.0001018,56319.54299375,7334
2026-05-17 00:00:00+00:00,0.0001019,0.0001031,0.0001012,0.0001016,66521.53549245,7341
2026-05-18 00:00:00+00:00,0.0001019,0.0001027,0.0001001,0.0001008,56741.91858106,7135
2026-05-19 00:00:00+00:00,0.0001012,0.0001018,9.9e-05,9.95e-05,59722.96564162,7545
2026-05-20 00:00:00+00:00,9.98e-05,0.0001005,9.6e-05,9.71e-05,54057.33973937,7437
2026-05-21 00:00:00+00:00,9.76e-05,9.87e-05,9.65e-05,9.69e-05,60880.79128837,7097
2026-05-22 00:00:00+00:00,9.7e-05,9.78e-05,9.64e-05,9.65e-05,59485.06473914,6792
2026-05-23 00:00:00+00:00,9.67e-05,9.71e-05,9.52e-05,9.6e-05,56683.36924419,6707
2026-05-24 00:00:00+00:00,9.62e-05,9.71e-05,9.52e-05,9.57e-05,51966.63862235,6911
2026-05-25 00:00:00+00:00,9.58e-05,0.000117,9.56e-05,0.0001077,82602.25028975,7955
2026-05-26 00:00:00+00:00,0.0001083,0.0002551,7.63e-05,8.49e-05,165540.33931302,9659
2026-05-27 00:00:00+00:00,8.49e-05,9.89e-05,7.71e-05,8.66e-05,61390.5628068,6512
2026-05-28 00:00:00+00:00,8.72e-05,9.38e-05,8.1e-05,8.45e-05,68789.48594358,8927
2026-05-29 00:00:00+00:00,8.49e-05,8.61e-05,8.16e-05,8.24e-05,68582.94348102,8116
2026-05-30 00:00:00+00:00,8.27e-05,8.39e-05,8.15e-05,8.33e-05,70948.58830013,6951
2026-05-31 00:00:00+00:00,8.36e-05,8.5e-05,8.23e-05,8.25e-05,76982.57903271,7346
