t,open,high,low,close,volume_usd,trades
2026-05-25 12:00:00+00:00,9.89e-05,9.94e-05,9.89e-05,9.94e-05,82.42217597,14
2026-05-25 12:05:00+00:00,9.91e-05,9.91e-05,9.91e-05,9.91e-05,82.30270856,11
2026-05-25 12:10:00+00:00,9.94e-05,0.0001003,9.93e-05,9.99e-05,290.96457071,40
2026-05-25 12:15:00+00:00,9.99e-05,9.99e-05,9.85e-05,9.85e-05,323.97848264,45
2026-05-25 12:20:00+00:00,9.85e-05,9.98e-05,9.85e-05,9.98e-05,243.92894753,24
2026-05-25 12:25:00+00:00,9.93e-05,9.93e-05,9.87e-05,9.88e-05,104.82801421,22
2026-05-25 12:30:00+00:00,9.88e-05,0.0001008,9.88e-05,0.0001001,338.41755397,44
2026-05-25 12:35:00+00:00,0.0001001,0.0001001,9.85e-05,9.85e-05,181.29488855,35
2026-05-25 12:40:00+00:00,9.9e-05,9.97e-05,9.9e-05,9.97e-05,115.35157857,20
2026-05-25 12:45:00+00:00,9.93e-05,0.0001008,9.9e-05,9.93e-05,581.3619501,33
2026-05-25 12:50:00+00:00,9.98e-05,0.0001014,9.98e-05,0.0001006,393.3093538,48
2026-05-25 12:55:00+00:00,0.0001006,0.0001006,9.95e-05,9.96e-05,240.80847283,39
2026-05-25 13:00:00+00:00,0.0001001,0.0001009,0.0001001,0.0001009,106.51948925,17
2026-05-25 13:05:00+00:00,0.0001004,0.0001004,9.98e-05,9.99e-05,106.0912045,17
2026-05-25 13:10:00+00:00,0.0001004,0.0001014,0.0001004,0.0001009,258.83804299,38
2026-05-25 13:15:00+00:00,0.0001007,0.0001007,9.95e-05,9.95e-05,296.64639284,37
2026-05-25 13:20:00+00:00,0.0001001,0.0001008,0.0001001,0.0001008,86.11984157,15
2026-05-25 13:25:00+00:00,0.0001004,0.0001004,9.97e-05,9.98e-05,93.92261754,16
2026-05-25 13:30:00+00:00,0.0001003,0.0001014,0.0001001,0.0001006,248.28575188,37
2026-05-25 13:35:00+00:00,0.0001006,0.0001006,9.99e-05,9.99e-05,204.6055339,32
2026-05-25 13:40:00+00:00,0.0001004,0.0001015,0.0001004,0.0001015,125.77764685,21
2026-05-25 13:45:00+00:00,0.0001009,0.0001016,0.0001006,0.0001012,373.4663153,23
2026-05-25 13:50:00+00:00,0.0001015,0.0001019,0.0001005,0.0001019,278.87223049,38
2026-05-25 13:55:00+00:00,0.0001012,0.0001015,0.0001004,0.0001005,163.62771453,29
2026-05-25 14:00:00+00:00,0.0001009,0.0001025,0.0001009,0.0001025,779.50770351,27
2026-05-25 14:05:00+00:00,0.0001021,0.0001021,0.0001016,0.0001017,205.15696098,20
2026-05-25 14:10:00+00:00,0.0001023,0.0001029,0.000102,0.0001023,379.98682368,37
2026-05-25 14:15:00+00:00,0.0001023,0.0001023,0.0001017,0.0001018,222.75377765,31
2026-05-25 14:20:00+00:00,0.0001023,0.0001031,0.0001023,0.000103,185.60989997,24
2026-05-25 14:25:00+00:00,0.0001025,0.0001025,0.0001018,0.0001018,162.84310231,22
2026-05-25 14:30:00+00:00,0.0001023,0.0001033,0.0001023,0.0001033,364.76302148,25
2026-05-25 14:35:00+00:00,0.0001027,0.0001028,0.0001024,0.0001024,182.36557096,23
2026-05-25 14:40:00+00:00,0.0001028,0.0001033,0.0001025,0.000103,148.667835,23
2026-05-25 14:45:00+00:00,0.0001023,0.0001025,0.0001016,0.0001016,839.53867617,18
2026-05-25 14:50:00+00:00,0.000102,0.000103,0.000102,0.000103,145.51453272,24
2026-05-25 15:00:00+00:00,0.000103,0.000103,0.0001019,0.0001019,302.44284831,16
2026-05-25 15:05:00+00:00,0.0001018,0.0001018,0.0001015,0.0001015,74.05566413,14
2026-05-25 15:10:00+00:00,0.000102,0.000103,0.000102,0.0001025,175.49724457,29
2026-05-25 15:15:00+00:00,0.0001025,0.0001025,0.0001017,0.0001018,148.67377714,30
2026-05-25 15:20:00+00:00,0.0001018,0.0001023,0.0001013,0.0001017,693.17119919,22
2026-05-25 15:30:00+00:00,0.0001017,0.0001025,0.0001017,0.000102,225.63605306,35
2026-05-25 15:35:00+00:00,0.000102,0.000102,0.000101,0.000101,426.79572379,36
2026-05-25 15:40:00+00:00,0.0001015,0.0001019,0.0001015,0.0001019,65.64948993,11
2026-05-25 15:45:00+00:00,0.0001019,0.0001019,0.0001012,0.0001012,61.94498736,10
2026-05-25 15:50:00+00:00,0.000101,0.0001022,0.000101,0.0001022,270.78781519,39
2026-05-25 15:55:00+00:00,0.0001017,0.0001017,0.0001012,0.0001012,254.7787858,39
2026-05-25 16:00:00+00:00,0.0001015,0.0001022,0.0001015,0.0001022,113.35928116,19
