symbol,date,source_zip_bytes,source_url,trade_count,start_utc,end_utc,quote_volume_usdt,price_change_pct,top_qty,top_qty_count,top_qty_share,second_qty,second_qty_count,second_qty_share,top_two_qty_share,top_two_quote_volume_usdt,top_two_quote_volume_share,dominant_lot_trade_count,dominant_lot_trade_share,dominant_lot_quote_volume_usdt,dominant_lot_quote_volume_share,unique_qty_ratio,top_second_of_minute_share,second_of_minute_chi_square,buyer_taker_share,median_intertrade_gap_seconds,p95_intertrade_gap_seconds
NOTUSDT,2026-06-11,177553,https://data.binance.vision/data/spot/daily/aggTrades/NOTUSDT/NOTUSDT-aggTrades-2026-06-11.zip,11862,2026-06-11T00:00:04.773000+00:00,2026-06-11T23:58:13.691000+00:00,1387451.88,5.8524,200000,3226,0.271961,14748,3072,0.258978,0.530939,283121.28,0.204058,6298,0.530939,283121.28,0.204058,0.354662,0.043837,2628.79,0.517704,0.0,43.796
CELRUSDT,2026-06-11,290495,https://data.binance.vision/data/spot/daily/aggTrades/CELRUSDT/CELRUSDT-aggTrades-2026-06-11.zip,16275,2026-06-11T00:00:01.731000+00:00,2026-06-11T23:59:56.591000+00:00,267495.22,3.7321,6788,2545,0.156375,6888,2520,0.154839,0.311214,74208.83,0.277421,5,0.000307,2141.6,0.008006,0.578003,0.029862,334.29,0.515269,3.965,15.097
STRKUSDT,2026-06-11,151024,https://data.binance.vision/data/spot/daily/aggTrades/STRKUSDT/STRKUSDT-aggTrades-2026-06-11.zip,8621,2026-06-11T00:00:12.514000+00:00,2026-06-11T23:59:50.530000+00:00,1555405.08,3.6145,1157.4,2672,0.309941,1000,164,0.019023,0.328964,111837.74,0.071903,2,0.000232,13820.0,0.008885,0.466767,0.029115,861.04,0.314697,9.104,20.941
OPUSDT,2026-06-11,251814,https://data.binance.vision/data/spot/daily/aggTrades/OPUSDT/OPUSDT-aggTrades-2026-06-11.zip,14146,2026-06-11T00:00:07.256000+00:00,2026-06-11T23:59:59.038000+00:00,2418189.88,5.0605,125,4024,0.284462,1000,278,0.019652,0.304114,73402.75,0.030354,0,0.0,0,0.0,0.558603,0.03379,578.8,0.488901,0.884,28.783
OGUSDT,2026-06-11,114327,https://data.binance.vision/data/spot/daily/aggTrades/OGUSDT/OGUSDT-aggTrades-2026-06-11.zip,7613,2026-06-11T00:00:39.223000+00:00,2026-06-11T23:59:22.590000+00:00,721387.73,3.5395,1.9,1601,0.210298,2.2,489,0.064232,0.27453,11412.99,0.015821,0,0.0,0,0.0,0.160252,0.034678,899.36,0.529226,0.001,64.704
SCRUSDT,2026-06-11,119734,https://data.binance.vision/data/spot/daily/aggTrades/SCRUSDT/SCRUSDT-aggTrades-2026-06-11.zip,7236,2026-06-11T00:00:03.126000+00:00,2026-06-11T23:59:55.870000+00:00,364717.23,3.2716,2000,1523,0.210475,1767.6,137,0.018933,0.229409,109520.49,0.300289,2,0.000276,13324.0,0.036532,0.413212,0.041736,884.43,0.62037,0.265,61.166
SANDUSDT,2026-06-11,315006,https://data.binance.vision/data/spot/daily/aggTrades/SANDUSDT/SANDUSDT-aggTrades-2026-06-11.zip,18876,2026-06-11T00:00:03.367000+00:00,2026-06-11T23:59:59.890000+00:00,861655.23,4.0394,98,1401,0.074221,99,1400,0.074168,0.148389,14317.14,0.016616,0,0.0,0,0.0,0.158031,0.032687,595.51,0.53274,0.627,22.403
FLOKIUSDT,2026-06-11,303511,https://data.binance.vision/data/spot/daily/aggTrades/FLOKIUSDT/FLOKIUSDT-aggTrades-2026-06-11.zip,16718,2026-06-11T00:00:03.805000+00:00,2026-06-11T23:59:56.412000+00:00,1380641.2,2.2755,200000,871,0.0521,83750,454,0.027156,0.079256,5251.54,0.003804,871,0.0521,4309.9,0.003122,0.620828,0.030566,668.63,0.417694,0.323,25.054
DOGEUSDT,2026-06-11,1409559,https://data.binance.vision/data/spot/daily/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-06-11.zip,81087,2026-06-11T00:00:00.378000+00:00,2026-06-11T23:59:59.334000+00:00,48852769.51,3.7734,123,3208,0.039562,1190,1618,0.019954,0.059516,198025.22,0.004054,13,0.00016,158269.78,0.00324,0.224549,0.027156,1606.88,0.542294,0.096,5.393
ADAUSDT,2026-06-11,666315,https://data.binance.vision/data/spot/daily/aggTrades/ADAUSDT/ADAUSDT-aggTrades-2026-06-11.zip,37086,2026-06-11T00:00:03.759000+00:00,2026-06-11T23:59:55.914000+00:00,30935714.41,6.2228,1000,473,0.012754,400,284,0.007658,0.020412,97674.0,0.003157,8,0.000216,269640.0,0.008716,0.53438,0.034407,1335.81,0.517662,0.184,11.594
SPKUSDT,2026-06-11,1491545,https://data.binance.vision/data/spot/daily/aggTrades/SPKUSDT/SPKUSDT-aggTrades-2026-06-11.zip,101120,2026-06-11T00:00:00.433000+00:00,2026-06-11T23:59:48.808000+00:00,2801129.9,0.8097,249,6961,0.068839,248,6157,0.060888,0.129727,66037.99,0.023575,0,0.0,0,0.0,0.077611,0.045718,9269.81,0.466268,0.001,4.856
