symbol,date,source_url
ADAUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/ADAUSDT/ADAUSDT-aggTrades-2026-06-11.zip
CELRUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/CELRUSDT/CELRUSDT-aggTrades-2026-06-11.zip
DOGEUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-06-11.zip
FLOKIUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/FLOKIUSDT/FLOKIUSDT-aggTrades-2026-06-11.zip
NOTUSDT,2026-06-08,https://data.binance.vision/data/spot/daily/aggTrades/NOTUSDT/NOTUSDT-aggTrades-2026-06-08.zip
NOTUSDT,2026-06-09,https://data.binance.vision/data/spot/daily/aggTrades/NOTUSDT/NOTUSDT-aggTrades-2026-06-09.zip
NOTUSDT,2026-06-10,https://data.binance.vision/data/spot/daily/aggTrades/NOTUSDT/NOTUSDT-aggTrades-2026-06-10.zip
NOTUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/NOTUSDT/NOTUSDT-aggTrades-2026-06-11.zip
OGUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/OGUSDT/OGUSDT-aggTrades-2026-06-11.zip
OPUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/OPUSDT/OPUSDT-aggTrades-2026-06-11.zip
SANDUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/SANDUSDT/SANDUSDT-aggTrades-2026-06-11.zip
SCRUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/SCRUSDT/SCRUSDT-aggTrades-2026-06-11.zip
SPKUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/SPKUSDT/SPKUSDT-aggTrades-2026-06-11.zip
STRKUSDT,2026-06-11,https://data.binance.vision/data/spot/daily/aggTrades/STRKUSDT/STRKUSDT-aggTrades-2026-06-11.zip
