pair,date,aggregate_trades,notional_quote,top_exact_quantity,top_quantity_trade_share_pct,top_quantity_notional_share_pct,quantity_200000_trade_share_pct,quantity_200000_notional_share_pct,quantity_14748_trade_share_pct,quantity_14748_notional_share_pct
BOMEUSDT,2026-06-07,7592,531197.62,200000.00,15.4636,18.1559,15.4636,18.1559,14.2914,1.2368
BOMEUSDT,2026-06-08,5943,432957.72,200000.00,12.1487,13.9056,12.1487,13.9056,11.9468,1.0083
BOMEUSDT,2026-06-09,7212,655064.02,200000.00,18.8020,16.9575,18.8020,16.9575,18.1780,1.2087
BOMEUSDT,2026-06-10,8290,675852.98,200000.00,19.6622,19.8910,19.6622,19.8910,19.3124,1.4406
BOMEUSDT,2026-06-11,11838,1120217.43,200000.00,22.9684,21.0801,22.9684,21.0801,22.1237,1.4973
BOMEUSDT,2026-06-12,9234,722113.95,200000.00,23.4568,26.0960,23.4568,26.0960,22.7637,1.8674
BOMEUSDT,2026-06-13,6254,549184.23,200000.00,21.6661,21.5513,21.6661,21.5513,20.7387,1.5212
BOMEUSDC,2026-06-07,1305,69362.40,15000.00,17.0881,1.9861,9.5019,14.7538,9.4253,1.0784
BOMEUSDC,2026-06-08,738,43899.67,14748.00,12.1951,1.2562,11.3821,15.9259,12.1951,1.2562
BOMEUSDC,2026-06-09,815,95837.38,14748.00,27.1166,1.3915,26.0123,18.0902,27.1166,1.3915
BOMEUSDC,2026-06-10,1048,86796.60,200000.00,27.4809,27.1589,27.4809,27.1589,26.4313,1.9255
BOMEUSDC,2026-06-11,1388,115480.77,14748.00,21.1816,1.6220,20.8213,21.6086,21.1816,1.6220
BOMEUSDC,2026-06-12,747,64896.39,200000.00,14.4578,14.4412,14.4578,14.4412,14.4578,1.0649
BOMEUSDC,2026-06-13,733,50952.99,200000.00,19.6453,24.5913,19.6453,24.5913,19.5089,1.8021
NEIROUSDT,2026-06-07,60848,1591911.63,20000.00,40.8395,2.0092,16.8107,8.2658,0.0000,0.0000
NEIROUSDT,2026-06-08,76141,2340355.65,20000.00,41.2892,1.7926,17.9049,7.8121,0.0000,0.0000
NEIROUSDT,2026-06-09,123543,3711843.00,20000.00,35.7973,1.6577,18.8291,8.7738,3.1220,0.1113
NEIROUSDT,2026-06-10,81365,2004003.39,20000.00,41.0299,2.2558,16.8156,9.2564,0.0025,0.0001
NEIROUSDT,2026-06-11,70374,1761793.57,20000.00,37.8094,2.0690,15.7004,8.5983,0.0000,0.0000
NEIROUSDT,2026-06-12,55351,1254541.14,20000.00,44.7797,2.6927,16.0557,9.6620,0.0018,0.0001
NEIROUSDT,2026-06-13,49012,1684983.05,20000.00,34.0243,1.3806,18.1037,7.3610,0.9977,0.0309
NEIROUSDC,2026-06-07,2364,88767.21,200000.00,52.1151,17.8655,52.1151,17.8655,0.0000,0.0000
NEIROUSDC,2026-06-08,2666,95039.53,200000.00,43.3233,16.2046,43.3233,16.2046,0.0000,0.0000
NEIROUSDC,2026-06-09,7247,281253.69,200000.00,48.5028,17.4512,48.5028,17.4512,4.3880,0.1212
NEIROUSDC,2026-06-10,3662,109719.43,200000.00,51.4200,23.2572,51.4200,23.2572,0.0000,0.0000
NEIROUSDC,2026-06-11,4573,160427.39,200000.00,59.7638,23.3446,59.7638,23.3446,0.0000,0.0000
NEIROUSDC,2026-06-12,3090,89089.33,200000.00,56.9579,26.9332,56.9579,26.9332,0.0000,0.0000
NEIROUSDC,2026-06-13,3285,90561.33,200000.00,49.8630,25.3661,49.8630,25.3661,7.8234,0.3013
